surface_id	fields
SURF-CAW2026R00464	corpus_disposition
SURF-CAW2026R00465	corpus_disposition
SURF-CAW2026R00466	corpus_disposition
SURF-CAW2026R00467	corpus_disposition
SURF-CAW2026R00468	corpus_disposition
SURF-CAW2026R00473	corpus_disposition
SURF-CAW2026R00474	corpus_disposition
SURF-CAW2026R00475	corpus_disposition
SURF-CAW2026R00476	corpus_disposition
SURF-CAW2026R00477	corpus_disposition
SURF-CAW2026R00478	corpus_disposition
SURF-CAW2026R00479	corpus_disposition
SURF-CAW2026R00483	corpus_disposition
SURF-CAW2026R00484	corpus_disposition
SURF-CAW2026R00489	corpus_disposition
SURF-CAW2026R00490	corpus_disposition
SURF-CAW2026R00491	corpus_disposition
SURF-CAW2026R00492	corpus_disposition
SURF-CAW2026R00493	corpus_disposition
SURF-CAW2026R00494	corpus_disposition
SURF-CAW2026R00498	corpus_disposition
SURF-CAW2026R00499	corpus_disposition
SURF-CAW2026R00500	corpus_disposition
SURF-CAW2026R00501	corpus_disposition
SURF-CAW2026R00502	corpus_disposition
SURF-CAW2026R00503	corpus_disposition
SURF-CAW2026R00504	corpus_disposition
SURF-CAW2026R00505	corpus_disposition
SURF-CAW2026R00506	corpus_disposition
SURF-CAW2026R00507	corpus_disposition
SURF-CAW2026R00508	corpus_disposition
SURF-CAW2026R00509	corpus_disposition
SURF-CAW2026R00510	corpus_disposition
SURF-CAW2026R00551	corpus_disposition
SURF-CAW2026R00552	corpus_disposition
SURF-CAW2026R00553	corpus_disposition
SURF-CAW2026R00555	corpus_disposition
SURF-CAW2026R00557	corpus_disposition
SURF-CAW2026R00558	corpus_disposition
SURF-CAW2026R00559	corpus_disposition
SURF-CAW2026R00563	corpus_disposition
SURF-CAW2026R00589	corpus_disposition
SURF-CAW2026R00590	corpus_disposition
SURF-CAW2026R00591	corpus_disposition
SURF-CAW2026R00592	corpus_disposition
SURF-CAW2026R00593	corpus_disposition
SURF-CAW2026R00598	corpus_disposition
SURF-CAW2026R00599	corpus_disposition
SURF-CAW2026R00600	corpus_disposition
SURF-CAW2026R00601	corpus_disposition
SURF-CAW2026R00602	corpus_disposition
SURF-CAW2026R00603	corpus_disposition
SURF-CAW2026R00604	corpus_disposition
SURF-CAW2026R00605	corpus_disposition
SURF-CAW2026R00606	corpus_disposition
SURF-CAW2026R00607	corpus_disposition
SURF-CAW2026R00608	corpus_disposition
SURF-CAW2026R00609	corpus_disposition
SURF-CAW2026R00610	corpus_disposition
SURF-CAW2026R00611	corpus_disposition
SURF-CAW2026R00621	corpus_disposition
SURF-CAW2026R00622	corpus_disposition
SURF-CAW2026R00623	corpus_disposition
SURF-CAW2026R00624	corpus_disposition
SURF-CAW2026R00625	corpus_disposition
SURF-CAW2026R00626	corpus_disposition
SURF-CAW2026R00627	corpus_disposition
SURF-CAW2026R00628	corpus_disposition
SURF-CAW2026R00631	corpus_disposition
SURF-CAW2026R00634	corpus_disposition
SURF-CAW2026R00635	corpus_disposition
SURF-CAW2026R00637	corpus_disposition
SURF-CAW2026R00641	corpus_disposition
SURF-CAW2026R00643	corpus_disposition
SURF-CAW2026R00645	corpus_disposition
SURF-CAW2026R00646	corpus_disposition
SURF-CAW2026R00648	corpus_disposition
SURF-CAW2026R00650	corpus_disposition
SURF-CAW2026R00651	corpus_disposition
SURF-CAW2026R00653	corpus_disposition
SURF-CAW2026R00659	corpus_disposition
SURF-CAW2026R00661	corpus_disposition
SURF-CAW2026R00662	corpus_disposition
SURF-CAW2026R00663	corpus_disposition
SURF-CAW2026R00665	corpus_disposition
SURF-CAW2026R00666	corpus_disposition
SURF-CAW2026R00667	corpus_disposition
SURF-CAW2026R00668	corpus_disposition
SURF-CAW2026R00669	corpus_disposition
SURF-CAW2026R00671	corpus_disposition
SURF-CAW2026R00672	corpus_disposition
SURF-CAW2026R00673	corpus_disposition
SURF-CAW2026R00674	corpus_disposition
SURF-CAW2026R00675	corpus_disposition
SURF-CAW2026R00680	corpus_disposition
SURF-CAW2026R00683	corpus_disposition
SURF-CAW2026R00684	corpus_disposition
SURF-CAW2026R00685	corpus_disposition
SURF-CAW2026R00686	corpus_disposition
SURF-CAW2026R00687	corpus_disposition
SURF-CAW2026R00688	corpus_disposition
SURF-CAW2026R00689	corpus_disposition
SURF-CAW2026R00690	corpus_disposition
SURF-CAW2026R00691	corpus_disposition
SURF-CAW2026R00692	corpus_disposition
SURF-CAW2026R00693	corpus_disposition
SURF-CAW2026R00694	corpus_disposition
SURF-CAW2026R00695	corpus_disposition
SURF-CAW2026R00696	corpus_disposition
SURF-CAW2026R00697	corpus_disposition
SURF-CAW2026R00698	corpus_disposition
SURF-CAW2026R00699	corpus_disposition
SURF-CAW2026R00700	corpus_disposition
SURF-CAW2026R00707	corpus_disposition
SURF-CAW2026R00712	corpus_disposition
SURF-CAW2026R00713	corpus_disposition
SURF-CAW2026R00714	corpus_disposition
SURF-CAW2026R00715	corpus_disposition
SURF-CAW2026R00716	corpus_disposition
SURF-CAW2026R00717	corpus_disposition
SURF-CAW2026R00719	corpus_disposition
SURF-CAW2026R00720	corpus_disposition
