path,byte_size,sha256,lfs_pointer_status,over_10_mib,over_50_mib
docs/audits/v49-repository-hygiene-and-database-freeze/raw/final-inventory/v49-repository-inventory.json,4321677,390df59329000b0bc91a17ad003ed8c3e5e478df1e5583789adc2d5ae4ab73bc,NOT_LFS,False,False
docs/audits/v49-repository-hygiene-and-database-freeze/raw/final-inventory/v49-retention-ledger.csv,3997638,748e39685593327678fe310a18eece1931e245910e1ac66ff4f7d1e2ed061fdb,NOT_LFS,False,False
docs/audits/v49-repository-hygiene-and-database-freeze/raw/final-inventory/v49-retention-ledger.json,4851631,847a86fc5504ba03e8f6a312e43230accfd6d1c32676baa273a16fdce7276307,NOT_LFS,False,False
docs/audits/v49-repository-hygiene-and-database-freeze/raw/fresh-d/final-reconciliation/candidate-derived-stable-ids.tsv,3272608,92335ba0c49e28b644374841fb5e1d0d72f8f49cbbcd4a7ab5d38bcd893329f0,NOT_LFS,False,False
docs/audits/v49-repository-hygiene-and-database-freeze/raw/fresh-d/final-reconciliation/fresh-a-stable-ids.tsv,3272608,92335ba0c49e28b644374841fb5e1d0d72f8f49cbbcd4a7ab5d38bcd893329f0,NOT_LFS,False,False
docs/audits/v49-repository-hygiene-and-database-freeze/raw/fresh-d/final-reconciliation/fresh-b-stable-ids.tsv,3272608,92335ba0c49e28b644374841fb5e1d0d72f8f49cbbcd4a7ab5d38bcd893329f0,NOT_LFS,False,False
docs/audits/v49-repository-hygiene-and-database-freeze/raw/fresh-d/final-reconciliation/quarantined-stable-ids.tsv,1749122,7815d5eb9bc666375bd1fe9c91b488f7e3f879f51a51970f767a8a8a6908d8de,NOT_LFS,False,False
docs/audits/v49-repository-hygiene-and-database-freeze/raw/fresh-d/postgres.log,1589874,d9071c765b32f5bba3d361020dbdabc7809963770ffddbc29d1ead9c45709cfa,NOT_LFS,False,False
docs/audits/v49-repository-hygiene-and-database-freeze/raw/fresh-d/reconciliation/candidate-derived-stable-ids.tsv,3272608,92335ba0c49e28b644374841fb5e1d0d72f8f49cbbcd4a7ab5d38bcd893329f0,NOT_LFS,False,False
docs/audits/v49-repository-hygiene-and-database-freeze/raw/fresh-d/reconciliation/fresh-a-stable-ids.tsv,3272608,92335ba0c49e28b644374841fb5e1d0d72f8f49cbbcd4a7ab5d38bcd893329f0,NOT_LFS,False,False
docs/audits/v49-repository-hygiene-and-database-freeze/raw/fresh-d/reconciliation/fresh-b-stable-ids.tsv,3272608,92335ba0c49e28b644374841fb5e1d0d72f8f49cbbcd4a7ab5d38bcd893329f0,NOT_LFS,False,False
docs/audits/v49-repository-hygiene-and-database-freeze/raw/fresh-d/reconciliation/quarantined-stable-ids.tsv,1749122,7815d5eb9bc666375bd1fe9c91b488f7e3f879f51a51970f767a8a8a6908d8de,NOT_LFS,False,False
docs/maintenance/v49-repository-inventory.csv,8379543,9159f349a7e37e5a2dcc603e23f470d300113c1d07e9e5c7826c3010a9cee839,NOT_LFS,False,False
docs/maintenance/v49-repository-inventory.json,9675478,88755620aade4dcda89fb0735a8f027621458c74b7c43d2ba050dd097bc1fced,NOT_LFS,False,False
docs/maintenance/v49-retention-ledger.csv,9004142,03af4f551b7bfc7976172dfb358b450061643b11b7f635d1908c89df12ab9316,NOT_LFS,False,False
docs/maintenance/v49-retention-ledger.json,10432403,6566d83295b4c1e23adbae9ef4b216a6e7700a5ad5c769863bc821c0a0c306eb,NOT_LFS,False,False
frontend/public/data/archive-search-v1.json,22695973,3674aa608a555e37651d5f88359f1faa01b1255be4ae870aa5a529acbd9a9d76,NOT_LFS,True,False
frontend/public/data/public_surface_mock_v0.json,90895254,4f293487d7d5d3ff64db3aabc154091c279bcad3fc4c2e06f4745e16a50c9138,NOT_LFS,True,True
frontend/public/data/trace-v48/catalog.json,2629051,77ca88e1e83a0f6058059a849b2278a89aa94a757cc1b495a5792fbae246bd2f,NOT_LFS,False,False
frontend/src/data/public_surface_mock_v0.json,90895254,4f293487d7d5d3ff64db3aabc154091c279bcad3fc4c2e06f4745e16a50c9138,NOT_LFS,True,True
generated/public_surfaces_prefreeze_candidate_v48.json,190067852,b16bb0158c3ea27cee2909e96631ab84f3c8f6d0356476e45e641eb27edb4f48,LFS_TRACKED,True,True
