policy_id	sensitivity_id	policy_name	role	weight_rule	posting_space	alpha	broad_stop_ratio	rare_support_floor	family_cap	container_posting_count	active_posting_count	stopped_posting_count	candidate_pool_p50	candidate_pool_p90	candidate_pool_p95	candidate_pool_p99	candidate_pool_max	zero_candidate_object_count	near_full_candidate_object_count	weight_min	weight_p50	weight_max	score_contribution	score_contribution_basis	residual_signal_count	raw_membership_scoring_allowed	same_source_parent_duplication_failures	broad_dominance_failures	randomness_affects_candidate_set	historical_relation	semantic_relation	probability
CUR-W1	CUR-W1-GLOBAL	GLOBAL_IDF_LIKE	RECALL_AND_DIAGNOSTIC	log((N + alpha) / (df + alpha))	RAW_RECALL	1	N/A	3	0.1	118	118	0	7439	7523	7648	7691	7691	0	548	0.11800191903931832	6.4617685	8.293549515060345	0	NONE	0	false	0	0	false	false	false	false
CUR-W2	CUR-W2-WITHIN-TYPE	WITHIN_CONTAINER_TYPE_IDF	RECALL_AND_DIAGNOSTIC	log((N_type + alpha) / (df + alpha))	RAW_RECALL	1	N/A	3	0.1	118	118	0	7439	7523	7648	7691	7691	0	548	0.11800191903931832	6.347639	8.293549515060345	0	NONE	0	false	0	0	false	false	false	false
CUR-W3	CUR-W3-STOP-25	HARD_BROAD_CONTAINER_STOP	BOUNDED_RECALL	retain when df / N <= threshold	RAW_RECALL	1	0.25	3	0.1	118	114	4	115	1174	1322	1506	1750	3074	0	1	1	1	0	NONE	0	false	0	0	false	false	false	false
CUR-W3	CUR-W3-STOP-50	HARD_BROAD_CONTAINER_STOP	BOUNDED_RECALL	retain when df / N <= threshold	RAW_RECALL	1	0.5	3	0.1	118	117	1	3955	4152	4370	6042	6650	0	0	1	1	1	0	NONE	0	false	0	0	false	false	false	false
CUR-W3	CUR-W3-STOP-75	HARD_BROAD_CONTAINER_STOP	BOUNDED_RECALL	retain when df / N <= threshold	RAW_RECALL	1	0.75	3	0.1	118	117	1	3955	4152	4370	6042	6650	0	0	1	1	1	0	NONE	0	false	0	0	false	false	false	false
CUR-W3	CUR-W3-STOP-90	HARD_BROAD_CONTAINER_STOP	BOUNDED_RECALL	retain when df / N <= threshold	RAW_RECALL	1	0.9	3	0.1	118	118	0	7439	7523	7648	7691	7691	0	548	1	1	1	0	NONE	0	false	0	0	false	false	false	false
CUR-W4	CUR-W4-CAP	CAPPED_CURATORIAL_FAMILY	RESIDUAL_SCORING_SENSITIVITY	min(residual_family_value, family_cap)	RAW_RECALL	1	N/A	3	0.1	118	118	0	7439	7523	7648	7691	7691	0	548	0.1	0.1	0.1	0	NONE	0	false	0	0	false	false	false	false
CUR-W5	CUR-W5-RARE-BROAD-BOUNDED	RARE_AND_BROAD_BOUNDED	RECALL_AND_RESIDUAL_SENSITIVITY	min(weight_cap, idf * min(1, df / rare_support_floor))	RAW_RECALL	1	N/A	3	0.1	118	118	0	7439	7523	7648	7691	7691	0	548	0.11800191903931832	4	4	0	NONE	0	false	0	0	false	false	false	false
CUR-W6	CUR-W6-RESIDUAL-ONLY	LINEAGE_RESIDUAL_ONLY	RESIDUAL_ONLY	use only residual_curated_postings approved by lineage	RESIDUAL	1	N/A	3	0.1	0	0	0	0	0	0	0	0	7995	0	0	0	0	0	NONE	0	false	0	0	false	false	false	false
