source_success_id,source_name,macro_region,country_or_region,country_qid,source_class,institutional_level,url,final_url,http_status,content_type,response_bytes,page_title,meta_description,detected_protocols,protocol_evidence,source_success_status,capture_scope,image_policy_next,rights_policy_next,next_item_capture_priority,period_start,period_end,period_bands,wikidata_qid,wikidata_url,access_date,notes
NMSS2026R0001,Biblioteca del Instituto Cervantes de Argel - Max Aub,Africa,Algeria,Q262,library,official_source_site,http://argel.cervantes.es/es/biblioteca_espanol/biblioteca_espanol.htm,https://argel.cervantes.es/es/biblioteca_espanol/biblioteca_espanol.htm,200,text/html,30831,Información general de la biblioteca del Instituto Cervantes de Argel.,"La biblioteca del Instituto Cervantes en Argel es un centro de información y documentación especializado en las lenguas y culturas de España e Hispanoamérica. Fondos de literatura, arte, cine, historia, música y recursos para la enseñanza de español",,,success,official source homepage metadata; no raw payload or image download,source success only; next pass must find item-level image-bearing records before public image display,item-level rights review required before IMG01/IMG03; source success alone is not rights clearance,P2 source enrichment,1900,2026,1931-1970; 1971-2000; 2001-2026,Q85682241,https://www.wikidata.org/wiki/Q85682241,2026-06-05,Non-mainstream source success registry; not added to public surfaces until item/image capture is ready.
NMSS2026R0002,A. Kasteyev State Museum of Arts,Central Asia,Kazakhstan,Q232,museum,official_source_site,http://www.gmirk.kz,https://www.gmirk.kz/kk/,200,text/html; charset=utf-8,140000,Басты,,RSS/Atom;PDF,"RSS/Atom:rel=""alternate""; PDF:.pdf",success,official source homepage metadata; no raw payload or image download,source success only; next pass must find item-level image-bearing records before public image display,item-level rights review required before IMG01/IMG03; source success alone is not rights clearance,P1 item/source adapter,1900,2026,1931-1970; 1971-2000; 2001-2026,Q2324596,https://www.wikidata.org/wiki/Q2324596,2026-06-05,Non-mainstream source success registry; not added to public surfaces until item/image capture is ready.
NMSS2026R0003,99°art center,East Asia,Taiwan,Q865,museum,official_source_site,https://99dac.com/main.php,https://99dac.com/main.php,200,text/html; charset=utf-8,7353,九十九度藝術中心:99 Degree ART CENTER,九十九度藝術中心:99 Degree ART CENTER,,,success,official source homepage metadata; no raw payload or image download,source success only; next pass must find item-level image-bearing records before public image display,item-level rights review required before IMG01/IMG03; source success alone is not rights clearance,P1 manual item capture,1900,2026,1931-1970; 1971-2000; 2001-2026,Q113431337,https://www.wikidata.org/wiki/Q113431337,2026-06-05,Non-mainstream source success registry; not added to public surfaces until item/image capture is ready.
NMSS2026R0004,AIDSSH,Eastern Europe / Caucasus,Albania,Q222,archives,official_source_site,http://autoritetidosjeve.gov.al/,https://aidssh.al/,200,text/html; charset=UTF-8,140000,AIDSSH - Autoriteti për Informimin mbi Dokumentet e Ish-Sigurimit të Shtetit,"AIDSSH është një institucion përgjegjës për grumbullimin, administrimin, përpunimin dhe qasjen në dokumentet e ish‑Sigurimit të Shtetit nga viti 1944 deri 1991.",RSS/Atom;JSON-LD;WordPress REST;Static JS App;PDF,RSS/Atom:application/rss+xml; JSON-LD:application/ld+json; WordPress REST:wp-json; Static JS App:vite; PDF:.pdf,success,official source homepage metadata; no raw payload or image download,source success only; next pass must find item-level image-bearing records before public image display,item-level rights review required before IMG01/IMG03; source success alone is not rights clearance,P1 item/source adapter,1900,2026,1931-1970; 1971-2000; 2001-2026,Q30607676,https://www.wikidata.org/wiki/Q30607676,2026-06-05,Non-mainstream source success registry; not added to public surfaces until item/image capture is ready.
NMSS2026R0005,"""Dr. Julio Marc"" Provincial Historical Museum",Latin America / Caribbean,Argentina,Q414,museum,official_source_site,https://www.museomarc.gob.ar/,https://www.museomarc.gob.ar/,200,text/html; charset=UTF-8,140000,MUSEO MARC. CULTURA. HISTORIA. MUSEO HISTÓRICO. ROSARIO. SANTA FE. ARGENTINA,MUSEO. ESPACIO CULTURAL. HISTORIA. SUBSECRETARÍA DE GESTIÓN CULTURAL. MINISTERIO DE CULTURA. SANTA FE. ARGENTINA,JSON-LD,JSON-LD:application/ld+json,success,official source homepage metadata; no raw payload or image download,source success only; next pass must find item-level image-bearing records before public image display,item-level rights review required before IMG01/IMG03; source success alone is not rights clearance,P1 item/source adapter,1900,2026,1931-1970; 1971-2000; 2001-2026,Q6033415,https://www.wikidata.org/wiki/Q6033415,2026-06-05,Non-mainstream source success registry; not added to public surfaces until item/image capture is ready.
NMSS2026R0006,Bahrain National Museum,MENA,Bahrain,Q398,museum,official_source_site,http://www.bahraintourism.com/default.asp?action=article&id=151,http://www.bahraintourism.com/default.asp?action=article&id=151,200,text/html,136,Bahrain National Museum,,,,success,official source homepage metadata; no raw payload or image download,source success only; next pass must find item-level image-bearing records before public image display,item-level rights review required before IMG01/IMG03; source success alone is not rights clearance,P1 manual item capture,1900,2026,1931-1970; 1971-2000; 2001-2026,Q869788,https://www.wikidata.org/wiki/Q869788,2026-06-05,Non-mainstream source success registry; not added to public surfaces until item/image capture is ready.
NMSS2026R0007,Fiji Museum,Oceania / Indigenous,Fiji,Q712,museum,official_source_site,http://www.fijimuseum.org.fj/,https://fijimuseum.org.fj/,200,text/html; charset=utf-8,114182,Fiji Museum – 200 years of culture,,RSS/Atom;JSON-LD;WordPress REST;Static JS App;PDF,RSS/Atom:application/rss+xml; JSON-LD:schema.org; WordPress REST:wp-json; Static JS App:webpack; PDF:.pdf,success,official source homepage metadata; no raw payload or image download,source success only; next pass must find item-level image-bearing records before public image display,item-level rights review required before IMG01/IMG03; source success alone is not rights clearance,P1 item/source adapter,1900,2026,1931-1970; 1971-2000; 2001-2026,Q2652153,https://www.wikidata.org/wiki/Q2652153,2026-06-05,Non-mainstream source success registry; not added to public surfaces until item/image capture is ready.
NMSS2026R0008,Institut français d'Afghanistan,South Asia,Afghanistan,Q889,cultural center,official_source_site,http://institutfrancais-afghanistan.com/,http://institutfrancais-afghanistan.com/,200,text/html; charset=UTF-8,11686,institutfrancais-afghanistan.com,,,,success,official source homepage metadata; no raw payload or image download,source success only; next pass must find item-level image-bearing records before public image display,item-level rights review required before IMG01/IMG03; source success alone is not rights clearance,P2 source enrichment,1900,2026,1931-1970; 1971-2000; 2001-2026,Q28495004,https://www.wikidata.org/wiki/Q28495004,2026-06-05,Non-mainstream source success registry; not added to public surfaces until item/image capture is ready.
NMSS2026R0009,Pelita Brunei,Southeast Asia,Brunei,Q921,archives,official_source_site,http://www.pelitabrunei.gov.bn/SitePages/Home.aspx,https://www.pelitabrunei.gov.bn/SitePages/Home.aspx,200,text/html; charset=utf-8,140000,Home - PELITA BRUNEI,,RSS/Atom,"RSS/Atom:rel=""alternate""",success,official source homepage metadata; no raw payload or image download,source success only; next pass must find item-level image-bearing records before public image display,item-level rights review required before IMG01/IMG03; source success alone is not rights clearance,P1 item/source adapter,1900,2026,1931-1970; 1971-2000; 2001-2026,Q20449882,https://www.wikidata.org/wiki/Q20449882,2026-06-05,Non-mainstream source success registry; not added to public surfaces until item/image capture is ready.
NMSS2026R0010,Biblioteca del Instituto Cervantes de Orán,Africa,Algeria,Q262,library,official_source_site,http://oran.cervantes.es/es/biblioteca_espanol/biblioteca_espanol.htm,https://oran.cervantes.es/es/biblioteca_espanol/biblioteca_espanol.htm,200,text/html,28843,Biblioteca Instituto Cervantes Orán.,,,,success,official source homepage metadata; no raw payload or image download,source success only; next pass must find item-level image-bearing records before public image display,item-level rights review required before IMG01/IMG03; source success alone is not rights clearance,P2 source enrichment,1900,2026,1931-1970; 1971-2000; 2001-2026,Q85682242,https://www.wikidata.org/wiki/Q85682242,2026-06-05,Non-mainstream source success registry; not added to public surfaces until item/image capture is ready.
