group_type,group_value,records_total,source_visible_count,source_visible_rate,publication_grade_count,publication_grade_rate,weighted_publication_score,weighted_publication_rate,open_image_count,open_image_rate,rights_labeled_count,rights_labeled_rate,unclear_image_state_count,unclear_image_state_rate,anchor_image_available_count,anchor_image_available_rate,duplicate_image_url_records,duplicate_image_url_rate,img00_count,img01_count,img02_count,img03_count,img04_count
source_name,DigitalNZ,197,197,100.00,197,100.00,154.90,78.63,0,0.00,197,100.00,0,0.00,197,100.00,0,0.00,0,0,64,133,0
source_name,Cooper Hewitt Collection GraphQL API,148,148,100.00,148,100.00,81.40,55.00,0,0.00,148,100.00,0,0.00,148,100.00,0,0.00,0,0,148,0,0
source_name,Wikimedia Commons,144,144,100.00,144,100.00,129.60,90.00,144,100.00,144,100.00,0,0.00,144,100.00,0,0.00,0,0,0,144,0
source_name,V&A Collections API,90,42,46.67,42,46.67,23.10,25.67,0,0.00,90,100.00,0,0.00,42,46.67,12,13.33,0,0,42,0,48
source_name,Wellcome Collection Catalogue API,89,89,100.00,89,100.00,51.40,57.75,7,7.87,89,100.00,0,0.00,89,100.00,3,3.37,0,0,82,7,0
source_name,Georgia State University Library Digital Collections / CONTENTdm,85,85,100.00,85,100.00,46.75,55.00,0,0.00,85,100.00,0,0.00,85,100.00,0,0.00,0,0,85,0,0
source_name,Internet Archive / text and periodical collections,76,76,100.00,76,100.00,42.15,55.46,0,0.00,76,100.00,0,0.00,76,100.00,0,0.00,0,0,75,1,0
source_name,Library of Congress loc.gov API,68,47,69.12,0,0.00,14.10,20.74,0,0.00,68,100.00,0,0.00,0,0.00,12,17.65,0,47,0,0,21
source_name,Art Institute of Chicago API,60,59,98.33,12,20.00,10.80,18.00,0,0.00,60,100.00,0,0.00,11,18.33,26,43.33,47,0,0,12,1
source_name,Te Papa Collections Online,56,55,98.21,55,98.21,30.25,54.02,0,0.00,56,100.00,0,0.00,55,98.21,0,0.00,1,0,55,0,0
source_name,NAIDOC Poster Gallery,49,49,100.00,49,100.00,26.95,55.00,0,0.00,49,100.00,0,0.00,49,100.00,0,0.00,0,0,49,0,0
source_name,Princeton University Library Digital Collections / Figgy,41,41,100.00,41,100.00,22.55,55.00,0,0.00,41,100.00,0,0.00,41,100.00,0,0.00,0,0,41,0,0
source_name,Cleveland Museum Open Access API,25,25,100.00,25,100.00,22.50,90.00,0,0.00,25,100.00,0,0.00,25,100.00,6,24.00,0,0,0,25,0
source_name,Another Graphic,20,20,100.00,20,100.00,11.00,55.00,0,0.00,20,100.00,0,0.00,20,100.00,10,50.00,0,0,20,0,0
