macro_region,country_or_region,successful_sources,source_classes,protocols
Latin America / Caribbean,Colombia,17,library:14; museum:2; archives:1,(none detected):9; IIIF:3; RSS/Atom:1; DSpace;RSS/Atom;PDF:1; RSS/Atom;WordPress REST:1; RSS/Atom;JSON-LD;WordPress REST:1; Static JS App:1
Latin America / Caribbean,Costa Rica,7,museum:6; archives:1,RSS/Atom;JSON-LD;WordPress REST:2; RSS/Atom;WordPress REST:1; IIIF;JSON-LD;WordPress REST:1; RSS/Atom;JSON-LD:1; RSS/Atom:1; JSON-LD;PDF:1
MENA,Bahrain,1,library:1,RSS/Atom;PDF:1
MENA,Iran,12,museum:5; library:3; cultural center:2; archives:2,(none detected):3; RSS/Atom;WordPress REST:2; JSON-LD:1; IIIF:1; WordPress REST:1; RSS/Atom:1; RSS/Atom;JSON-LD;WordPress REST:1; RSS/Atom;PDF:1; RSS/Atom;JSON-LD;WordPress REST;Static JS App:1
MENA,Iraq,3,museum:2; library:1,(none detected):3
MENA,Jordan,6,library:3; museum:3,(none detected):2; RSS/Atom;WordPress REST:2; Static JS App;PDF:1; RSS/Atom;JSON-LD;WordPress REST:1
MENA,Kuwait,4,museum:3; library:1,JSON-LD:1; WordPress REST;Static JS App:1; RSS/Atom;WordPress REST:1; RSS/Atom;JSON-LD;WordPress REST:1
MENA,Lebanon,15,museum:9; cultural center:3; library:1; art gallery:1; archives:1,(none detected):5; JSON-LD:3; RSS/Atom;JSON-LD;WordPress REST:2; JSON-LD;PDF:1; IIIF:1; RSS/Atom;JSON-LD:1; RSS/Atom;Static JS App:1; IIIF;RSS/Atom;JSON-LD;WordPress REST:1
MENA,Oman,1,library:1,JSON-LD;PDF:1
MENA,Palestine,7,museum:5; art gallery:1; library:1,RSS/Atom;JSON-LD;WordPress REST;Static JS App:2; WordPress REST:1; RSS/Atom;JSON-LD;Static JS App:1; RSS/Atom;JSON-LD;WordPress REST:1; JSON-LD:1; PDF:1
MENA,Qatar,7,library:4; museum:3,Static JS App:2; RSS/Atom;JSON-LD;WordPress REST:1; IIIF;RSS/Atom:1; PDF:1; RSS/Atom;PDF:1; RSS/Atom:1
MENA,Saudi Arabia,12,library:5; museum:4; cultural center:2; archives:1,RSS/Atom;JSON-LD;WordPress REST:3; (none detected):2; RSS/Atom:2; RSS/Atom;PDF:1; RSS/Atom;JSON-LD;Static JS App:1; IIIF:1; RSS/Atom;JSON-LD:1; RSS/Atom;WordPress REST:1
MENA,Syria,6,museum:4; library:2,RSS/Atom;JSON-LD;WordPress REST:4; Static JS App:1; RSS/Atom;JSON-LD;WordPress REST;Static JS App:1
MENA,United Arab Emirates,15,museum:9; art gallery:3; library:2; cultural center:1,(none detected):5; RSS/Atom;WordPress REST:2; IIIF;RSS/Atom;JSON-LD;WordPress REST;PDF:1; RSS/Atom;JSON-LD;WordPress REST:1; PDF:1; IIIF:1; IIIF;RSS/Atom;JSON-LD:1; IIIF;JSON-LD:1; JSON-LD;Static JS App:1; IIIF;RSS/Atom;JSON-LD;Static JS App;PDF:1
MENA,Yemen,1,museum:1,JSON-LD;Static JS App:1
Oceania / Indigenous,Fiji,1,museum:1,RSS/Atom;JSON-LD;WordPress REST;Static JS App;PDF:1
South Asia,Afghanistan,1,museum:1,RSS/Atom;JSON-LD;WordPress REST:1
South Asia,Bangladesh,9,museum:5; cultural center:3; library:1,(none detected):3; RSS/Atom;JSON-LD;WordPress REST:2; IIIF;RSS/Atom;JSON-LD;WordPress REST:1; IIIF:1; RSS/Atom:1; RSS/Atom;WordPress REST;PDF:1
South Asia,Maldives,1,library:1,Static JS App;PDF:1
South Asia,Nepal,3,museum:2; art gallery:1,RSS/Atom;JSON-LD;WordPress REST:2; RSS/Atom;WordPress REST;Static JS App:1
South Asia,Pakistan,4,art gallery:2; museum:2,RSS/Atom;WordPress REST:3; RSS/Atom;JSON-LD;WordPress REST:1
South Asia,Sri Lanka,26,museum:24; library:2,RSS/Atom;PDF:11; Static JS App:8; (none detected):2; RSS/Atom;JSON-LD;WordPress REST:2; PDF:2; JSON-LD:1
Southeast Asia,Brunei,1,archives:1,RSS/Atom:1
Southeast Asia,Cambodia,4,museum:2; cultural center:1; archives:1,RSS/Atom;JSON-LD;WordPress REST:1; (none detected):1; PDF:1; RSS/Atom;WordPress REST:1
Southeast Asia,Malaysia,19,museum:13; archives:2; library:2; art gallery:1; cultural center:1,RSS/Atom;PDF:6; RSS/Atom;JSON-LD;WordPress REST:5; (none detected):4; RSS/Atom:1; RSS/Atom;JSON-LD:1; IIIF:1; JSON-LD:1
Southeast Asia,Philippines,10,museum:6; library:4,(none detected):2; JSON-LD:2; RSS/Atom;WordPress REST:2; PDF:1; Static JS App:1; RSS/Atom;WordPress REST;Static JS App:1; IIIF;Static JS App:1
Southeast Asia,Singapore,31,museum:20; library:9; cultural center:1; archives:1,(none detected):16; Static JS App:3; PDF:2; RSS/Atom;JSON-LD;WordPress REST:2; WordPress REST:2; IIIF;JSON-LD;PDF:1; RSS/Atom;JSON-LD;Static JS App:1; IIIF;RSS/Atom:1; Omeka;RSS/Atom;JSON-LD;WordPress REST:1; RSS/Atom;JSON-LD;Static JS App;PDF:1; JSON-LD:1
Southeast Asia,Thailand,15,museum:10; library:3; art gallery:1; cultural center:1,(none detected):6; RSS/Atom;WordPress REST:2; RSS/Atom;JSON-LD;WordPress REST:2; JSON-LD;WordPress REST:1; WordPress REST:1; JSON-LD;PDF:1; JSON-LD:1; IIIF;JSON-LD:1
