candidate_id,source_name,macro_region,subregion,country_or_region,source_class,institutional_level,protocol_family,url,http_status,final_url,content_type,response_bytes,page_title,meta_description,detected_protocols,protocol_evidence,adapter_hint,recommended_image_policy_next,recommended_text_policy_next,rights_risk,capture_priority_next,probe_status,failure_reason,raw_probe_path,access_date,notes
NLCV30214,UP Vargas Museum Archive,Southeast Asia,Philippines,Philippines,university museum archive,university museum,HTML,https://vargasmuseum.upd.edu.ph/,200,https://vargasmuseum.wordpress.com/,text/html; charset=UTF-8,180000,Jorge B. Vargas Museum and Filipiniana Research Center | Contemporary Art Museum at the University of the Philippines,Contemporary Art Museum at the University of the Philippines,RSS/Atom;WordPress REST;Static JS App,RSS/Atom:application/rss+xml;WordPress REST:wp-content;Static JS App:vite,wordpress_rest_or_html_adapter,IMG03 only if authoritative item license confirms; otherwise IMG02/IMG00,"source title, description, collection scope, catalog terms, and stable links",standard_rights_review,P1 text/source enrichment,ok,,,2026-06-05,
NLCV30215,Jakarta Arts Council Archive,Southeast Asia,Indonesia,Indonesia,arts council archive,public/arts,HTML,https://dkj.or.id/,200,https://dkj.or.id/,text/html; charset=UTF-8,98504,Beranda | Dewan Kesenian Jakarta,,RSS/Atom;JSON-LD;WordPress REST,RSS/Atom:application/rss+xml;JSON-LD:application/ld+json;WordPress REST:wp-json,wordpress_rest_or_html_adapter,IMG03 only if authoritative item license confirms; otherwise IMG02/IMG00,"source title, description, collection scope, catalog terms, and stable links",standard_rights_review,P1 adapter build,ok,,,2026-06-05,
NLCV30216,Myanmar Photo Archive,Southeast Asia,Myanmar,Myanmar,visual archive,independent/community,HTML,https://myanmarphotoarchive.org/,200,https://www.myanmarphotoarchive.org/,text/html; charset=UTF-8,51423,Myanmar Photo Archive – Myanmar Photo Archive,,RSS/Atom;WordPress REST,"RSS/Atom:rel=""alternate"";WordPress REST:wp-json",wordpress_rest_or_html_adapter,IMG03 only if authoritative item license confirms; otherwise IMG02/IMG00,"source title, description, collection scope, catalog terms, and stable links",community_or_cultural_review,P1 adapter build,ok,,,2026-06-05,
NLCV30217,Vietnam Fine Arts Museum,Southeast Asia,Vietnam,Vietnam,museum archive,national museum,HTML,https://vnfam.vn/,200,https://vnfam.vn/,text/html; charset=UTF-8,1120,Bảo tàng mỹ thuật Việt Nam,,IIIF,IIIF:manifest.json,iiif_manifest_adapter,IMG03 only if authoritative item license confirms; otherwise IMG02/IMG00,"source title, description, collection scope, catalog terms, and stable links",iiif_is_viewer_not_reuse,P1 adapter build,ok,,,2026-06-05,
NLCV30218,Singapore Art Museum Archive,Southeast Asia,Singapore,Singapore / Southeast Asia,museum archive,museum,HTML,https://www.singaporeartmuseum.sg/,200,https://www.singaporeartmuseum.sg/,text/html; charset=utf-8,98228,Welcome to Singapore Art Museum (SAM),"Located in Tanjong Pagar Distripark, discover one of the world's most important collections of contemporary art from Singapore, Southeast Asia, and Asia at Singapore Art Museum (SAM). Explore our exhibitions, programmes, and educational…",,,html_metadata_adapter,IMG03 only if authoritative item license confirms; otherwise IMG02/IMG00,"source title, description, collection scope, catalog terms, and stable links",standard_rights_review,P1 text/source enrichment,ok,,,2026-06-05,
NLCV30219,Museum of Modern Art Warsaw Archives,Eastern Europe / Caucasus,Central Europe,Poland,museum archive,museum,HTML,https://artmuseum.pl/,,,,,,,,,manual_review_or_alternate_endpoint,IMG00 until source endpoint and item rights are verified,manual context only,standard_rights_review,P2 retry/manual verification,failed,URLError: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1028)>,,2026-06-05,
NLCV30220,Slovak Design Museum,Eastern Europe / Caucasus,Central Europe,Slovakia,design museum,museum,HTML,https://www.scd.sk/,200,https://scd.sk/,text/html; charset=UTF-8,134561,Slovenské centrum dizajnu — Slovenské centrum dizajnu,"Skúma, prezentuje a popularizuje dizajn na Slovensku, ale tiež zachraňuje predmety kultúrnej hodnoty prostredníctvom svojho oddelenia Slovenského múzea dizajnu.",RSS/Atom;JSON-LD;WordPress REST;Static JS App,RSS/Atom:application/rss+xml;JSON-LD:application/ld+json;WordPress REST:wp-json;Static JS App:vite,wordpress_rest_or_html_adapter,IMG03 only if authoritative item license confirms; otherwise IMG02/IMG00,"source title, description, collection scope, catalog terms, and stable links",standard_rights_review,P1 text/source enrichment,ok,,,2026-06-05,
NLCV30221,Moravian Gallery Brno Design Collection,Eastern Europe / Caucasus,Central Europe,Czech Republic,museum design collection,museum,HTML,https://moravska-galerie.cz/,200,https://moravska-galerie.cz/,text/html; charset=UTF-8,180000,"Moravská galerie – Moravská galerie v Brně nabízí jedinečnou expozici výtvarného umění, designu a architektury. Objevte bohatou sbírku, výstavy a doprovodné programy.",,RSS/Atom;WordPress REST,RSS/Atom:application/rss+xml;WordPress REST:wp-json,wordpress_rest_or_html_adapter,IMG03 only if authoritative item license confirms; otherwise IMG02/IMG00,"source title, description, collection scope, catalog terms, and stable links",standard_rights_review,P1 adapter build,ok,,,2026-06-05,
NLCV30222,Czech Design Archive,Eastern Europe / Caucasus,Central Europe,Czech Republic,design archive/publication,independent,HTML,https://www.czechdesign.cz/,200,https://www.czechdesign.cz/,text/html; charset=utf-8,156353,O českém designu víme vše – CZECHDESIGN,"Razíme cestu designu, který mění každodenní život k lepšímu. U vás doma, ve městě i ve firmě. Publikujeme | Pomáháme | Prodáváme | Pořádáme. Inspirujte se na našem webu příběhy dobrého designu, o nových tvářích na české designérské scéně…",IIIF;Static JS App,"IIIF:rel=""manifest"";Static JS App:vite",iiif_manifest_adapter,IMG03 only if authoritative item license confirms; otherwise IMG02/IMG00,"source title, description, collection scope, catalog terms, and stable links",iiif_is_viewer_not_reuse,P1 adapter build,ok,,,2026-06-05,
NLCV30223,Estonian Museum of Applied Art and Design,Eastern Europe / Caucasus,Baltics,Estonia,design museum,museum,HTML,https://www.etdm.ee/,200,https://www.etdm.ee/,text/html; charset=utf-8,148336,Avaleht - Eesti Tarbekunsti- ja Disainimuuseum,"Eesti Tarbekunsti- ja Disainimuuseum (lühend ETDM) on muuseum, mis on keskendunud eeskätt tarbekunsti ja disaini ajaloo tutvustamisele Eestis.",JSON-LD;WordPress REST;Static JS App;PDF,JSON-LD:application/ld+json;WordPress REST:wp-json;Static JS App:_next/static;PDF:.pdf,wordpress_rest_or_html_adapter,IMG03 only if authoritative item license confirms; otherwise IMG02/IMG00,"source title, description, collection scope, catalog terms, and stable links",standard_rights_review,P1 adapter build,ok,,,2026-06-05,
NLCV30224,Latvian Centre for Contemporary Art Archive,Eastern Europe / Caucasus,Baltics,Latvia,art archive,nonprofit,HTML,https://lcca.lv/,200,https://lcca.lv/lv/,text/html; charset=UTF-8,19744,Latvijas Laikmetīgās mākslas centrs | LCCA,,,,html_metadata_adapter,IMG03 only if authoritative item license confirms; otherwise IMG02/IMG00,"source title, description, collection scope, catalog terms, and stable links",standard_rights_review,P1 text/source enrichment,ok,,,2026-06-05,
NLCV30225,Lithuanian Design Forum,Eastern Europe / Caucasus,Baltics,Lithuania,design organization archive,nonprofit,HTML,https://dizainoforumas.lt/,200,https://www.dizainoforumas.lt/,text/html; charset=UTF-8,91664,Lietuvos dizaino forumas,"Lietuvos dizaino forumas - aktyviai veikianti, šalies dizainerius ir dizaino sferos verslus vienijanti asociacija, įkurta 2006 m.",IIIF;RSS/Atom;JSON-LD;WordPress REST,IIIF:iiif;RSS/Atom:application/rss+xml;JSON-LD:application/ld+json;WordPress REST:wp-json,iiif_manifest_adapter,IMG03 only if authoritative item license confirms; otherwise IMG02/IMG00,"source title, description, collection scope, catalog terms, and stable links",iiif_is_viewer_not_reuse,P1 adapter build,ok,,,2026-06-05,
NLCV30226,Cook Islands Library and Museum,Oceania / Indigenous,Pacific,Cook Islands,community library and museum,community,HTML,https://cook-islands-library-museum.org/,200,https://cook-islands-library-museum.org/,text/html; charset=UTF-8,154451,Home - The Cook Islands Library and Museum Society,Our Services What We Offer at the Museum and Library 01. 02. 03. Discover Your Cook Islands Heritage Join us […],RSS/Atom;JSON-LD;WordPress REST,RSS/Atom:application/rss+xml;JSON-LD:application/ld+json;WordPress REST:wp-json,wordpress_rest_or_html_adapter,IMG03 only if authoritative item license confirms; otherwise IMG02/IMG00,"source title, description, collection scope, catalog terms, and stable links",community_or_cultural_review,P1 text/source enrichment,ok,,,2026-06-05,
NLCV30227,Tonga National Museum,Oceania / Indigenous,Pacific,Tonga,national museum archive,national,HTML,https://tongamuseum.com/,,,,,,,,,manual_review_or_alternate_endpoint,IMG00 until source endpoint and item rights are verified,manual context only,community_or_cultural_review,P2 retry/manual verification,failed,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>",,2026-06-05,
NLCV30228,Pacific Virtual Museum,Oceania / Indigenous,Pacific,Pacific,regional cultural aggregator,regional,HTML,https://pacificvirtualmuseum.org/,,,,,,,,,manual_review_or_alternate_endpoint,IMG00 until source endpoint and item rights are verified,manual context only,community_or_cultural_review,P2 retry/manual verification,failed,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>",,2026-06-05,
