source_id,source_name,source_place_text,old_macro_region,old_country_or_region,new_macro_region,new_country_or_region,action,note
NMSS2026R0959,Museo Arqueológico Antonini,Latin America / Caribbean / Peru,Latin America,Peru,Latin America,Peru,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0827,Museo Arqueológico Guane,Latin America / Caribbean / Colombia,Latin America,Colombia,Latin America,Colombia,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0960,Museo Arqueológico Josefina Ramos de Cox,Latin America / Caribbean / Peru,Latin America,Peru,Latin America,Peru,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0828,Museo Arqueológico Municipal de Mongua,Latin America / Caribbean / Colombia,Latin America,Colombia,Latin America,Colombia,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0829,Museo Arqueológico Prehispánico de Caicedonia,Latin America / Caribbean / Colombia,Latin America,Colombia,Latin America,Colombia,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0830,Museo Arqueológico de Galapa Muga,Latin America / Caribbean / Colombia,Latin America,Colombia,Latin America,Colombia,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0831,Museo Arqueológico de Zipaquirá,Latin America / Caribbean / Colombia,Latin America,Colombia,Latin America,Colombia,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0834,Museo Arqueológico y Paleontológico de Pubenza,Latin America / Caribbean / Colombia,Latin America,Colombia,Latin America,Colombia,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0835,Museo Aéreo Fénix,Latin America / Caribbean / Colombia,Latin America,Colombia,Latin America,Colombia,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0962,Museo Cao,Latin America / Caribbean / Peru,Latin America,Peru,Latin America,Peru,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0837,Museo Capilla del Claustro de San Agustín del Instituto Humboldt,Latin America / Caribbean / Colombia,Latin America,Colombia,Latin America,Colombia,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0838,Museo Cartama,Latin America / Caribbean / Colombia,Latin America,Colombia,Latin America,Colombia,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0843,Museo Comunitario Mulaló,Latin America / Caribbean / Colombia,Latin America,Colombia,Latin America,Colombia,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0845,Museo Comunitario de Guainía,Latin America / Caribbean / Colombia,Latin America,Colombia,Latin America,Colombia,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0346,Museo Criollo de los Corrales,Latin America / Caribbean / Argentina,Latin America,Argentina,Latin America,Argentina,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0348,Museo De Los Asentamientos,Latin America / Caribbean / Argentina,Latin America,Argentina,Latin America,Argentina,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0354,Museo Del Títere Tibi,Latin America / Caribbean / Argentina,Latin America,Argentina,Latin America,Argentina,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0993,Museo Departamental de San José,Latin America / Caribbean / Uruguay,Latin America,Uruguay,Latin America,Uruguay,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0849,Museo El Castillo,Latin America / Caribbean / Colombia,Latin America,Colombia,Latin America,Colombia,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0851,Museo Etnográfico Miguel Ángel Builes,Latin America / Caribbean / Colombia,Latin America,Colombia,Latin America,Colombia,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0995,Museo Geominero del Uruguay,Latin America / Caribbean / Uruguay,Latin America,Uruguay,Latin America,Uruguay,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0356,Museo Hippie,Latin America / Caribbean / Argentina,Latin America,Argentina,Latin America,Argentina,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0358,Museo Histórico De La Afip,Latin America / Caribbean / Argentina,Latin America,Argentina,Latin America,Argentina,unchanged,summary geography already matches capture record source_place_text
