source_id,source_name,source_place_text,old_macro_region,old_country_or_region,new_macro_region,new_country_or_region,action,note
NMSS2026R0466,Q124454126,Africa / Morocco,Africa,Morocco,Africa,Morocco,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0213,Q74520147,Africa / Tanzania,Africa,Tanzania,Africa,Tanzania,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0397,Red Dot Design Museum,Southeast Asia / Singapore,Southeast Asia,Singapore,Southeast Asia,Singapore,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0402,Reflections at Bukit Chandu,Southeast Asia / Singapore,Southeast Asia,Singapore,Southeast Asia,Singapore,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0254,Royal Carriages museum,Africa / Egypt,Africa,Egypt,Africa,Egypt,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0938,Sachaqa Centro de Arte,Latin America / Caribbean / Peru,Latin America,Peru,Latin America,Peru,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0093,Sacred Defense Documentation and Research Center,MENA / Iran,MENA,Iran,MENA,Iran,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0481,Sarmiento Historic Museum,Latin America / Caribbean / Argentina,Latin America,Argentina,Latin America,Argentina,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0051,Seedrioru,Central Asia / Kazakhstan,Central Asia,Kazakhstan,Central Asia,Kazakhstan,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0100,Shahid Chamran Cultural and Sports Complex,MENA / Iran,MENA,Iran,MENA,Iran,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0942,Sharon Synagogue,Latin America / Caribbean / Peru,Latin America,Peru,Latin America,Peru,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0483,Simik Photographic Museum,Latin America / Caribbean / Argentina,Latin America,Argentina,Latin America,Argentina,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0468,Source library,Africa / Morocco,Africa,Morocco,Africa,Morocco,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0485,Southern Fuegian Railway,Latin America / Caribbean / Argentina,Latin America,Argentina,Latin America,Argentina,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0980,Spanish Museum,Latin America / Caribbean / Uruguay,Latin America,Uruguay,Latin America,Uruguay,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0081,Stèle de Kaba,Africa / Benin,Africa,Benin,Africa,Benin,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0216,Sukuma Museum,Africa / Tanzania,Africa,Tanzania,Africa,Tanzania,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0169,Sultan Abdul Aziz Royal Gallery,Southeast Asia / Malaysia,Southeast Asia,Malaysia,Southeast Asia,Malaysia,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0315,Sustainable Bolivia,Latin America / Caribbean / Bolivia,Latin America,Bolivia,Latin America,Bolivia,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0489,TEOR/ética Gallery,Latin America / Caribbean / Costa Rica,Latin America,Costa Rica,Latin America,Costa Rica,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0376,Tamale Technical University Library,Africa / Ghana,Africa,Ghana,Africa,Ghana,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0187,Tan Sri Runme Shaw Library,Southeast Asia / Malaysia,Southeast Asia,Malaysia,Southeast Asia,Malaysia,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0187,Tareq Rajab Museum,MENA / Kuwait,MENA,Kuwait,MENA,Kuwait,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0491,Tashkeel Dubai,MENA / United Arab Emirates,MENA,United Arab Emirates,MENA,United Arab Emirates,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0607,Tekera Resource Centre,Africa / Uganda,Africa,Uganda,Africa,Uganda,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0943,Temple Radicati Museum Library Foundation,Latin America / Caribbean / Peru,Latin America,Peru,Latin America,Peru,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0290,Temple of the Tooth Museum,South Asia / Sri Lanka,South Asia,Sri Lanka,South Asia,Sri Lanka,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0257,Thai Film Archive,Southeast Asia / Thailand,Southeast Asia,Thailand,Southeast Asia,Thailand,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0397,The Battle Box,Southeast Asia / Singapore,Southeast Asia,Singapore,Southeast Asia,Singapore,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0231,The Mind Museum,Southeast Asia / Philippines,Southeast Asia,Philippines,Southeast Asia,Philippines,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0219,The Peace Memorial Museum,Africa / Tanzania,Africa,Tanzania,Africa,Tanzania,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0301,The Temple Institute,MENA / Palestine,MENA,Palestine,MENA,Palestine,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0492,Timoteo Navarro Museum of Art,Latin America / Caribbean / Argentina,Latin America,Argentina,Latin America,Argentina,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0770,Toše Proeski Memorial,Eastern Europe / Caucasus / North Macedonia,Eastern Europe,North Macedonia,Eastern Europe,North Macedonia,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0100,Treasury of National Jewels,MENA / Iran,MENA,Iran,MENA,Iran,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0608,Uganda Islamic museum and Research centre,Africa / Uganda,Africa,Uganda,Africa,Uganda,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0609,Uganda Martyrs Museum,Africa / Uganda,Africa,Uganda,Africa,Uganda,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0946,Umbral Centro Cultural,Latin America / Caribbean / Peru,Latin America,Peru,Latin America,Peru,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0493,University Art Museum,Latin America / Caribbean / Argentina,Latin America,Argentina,Latin America,Argentina,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0983,Vilamajó House Museum,Latin America / Caribbean / Uruguay,Latin America,Uruguay,Latin America,Uruguay,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0089,Villa Karo,Africa / Benin,Africa,Benin,Africa,Benin,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0545,Waaw,Africa / Senegal,Africa,Senegal,Africa,Senegal,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0613,Women’s History Museum of Zambia,Africa / Zambia,Africa,Zambia,Africa,Zambia,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0502,Xul Solar Museum,Latin America / Caribbean / Argentina,Latin America,Argentina,Latin America,Argentina,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0465,Yemen Data Project,MENA / Yemen,MENA,Yemen,MENA,Yemen,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0316,Zawyeh art gallery,MENA / Palestine,MENA,Palestine,MENA,Palestine,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0193,data.gov.my,Southeast Asia / Malaysia,Southeast Asia,Malaysia,Southeast Asia,Malaysia,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0504,"museo en Tigre, Buenos Aires, Argentina",Latin America / Caribbean / Argentina,Latin America,Argentina,Latin America,Argentina,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0098,open.data.al,Eastern Europe / Caucasus / Albania,Eastern Europe,Albania,Eastern Europe,Albania,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0472,المركز الثقافي أزرو,Africa / Morocco,Africa,Morocco,Africa,Morocco,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0170,بيت تراث الموصل,MENA / Iraq,MENA,Iraq,MENA,Iraq,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0271,دار العلم والعلماء,MENA / Lebanon,MENA,Lebanon,MENA,Lebanon,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0277,دار النمر للفن والثقافة,MENA / Lebanon,MENA,Lebanon,MENA,Lebanon,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0474,فضاء الذاكرة التاريخية للمقاومة والتحرير أمير الأطلس,Africa / Morocco,Africa,Morocco,Africa,Morocco,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0947,秘魯國家檔案館,Latin America / Caribbean / Peru,Latin America,Peru,Latin America,Peru,unchanged,summary geography already matches capture record source_place_text
