bin_start,bin_end,all_records,object_dated_records,span_or_profile_records,object_share_of_expected,status
1830,1839,171,171,0,0.231,diagnostic
1840,1849,323,323,0,0.437,diagnostic
1850,1859,139,139,0,0.188,diagnostic
1860,1869,204,204,0,0.276,diagnostic
1870,1879,216,216,0,0.292,diagnostic
1880,1889,455,455,0,0.615,diagnostic
1890,1899,493,493,0,0.666,diagnostic
1900,1909,665,665,0,0.899,diagnostic
1910,1919,814,814,0,1.100,diagnostic
1920,1929,824,824,0,1.114,diagnostic
1930,1939,1549,1549,0,2.094,diagnostic
1940,1949,1582,1582,0,2.139,diagnostic
1950,1959,1003,1003,0,1.356,diagnostic
1960,1969,1090,1090,0,1.474,diagnostic
1970,1979,2567,2567,0,3.470,diagnostic
1980,1989,719,719,0,0.972,diagnostic
1990,1999,968,968,0,1.309,diagnostic
2000,2009,993,993,0,1.342,diagnostic
2010,2019,2847,2847,0,3.849,diagnostic
2020,2026,2190,1476,714,1.995,diagnostic
