surface_id,source_record_id,source_record_url,title,best_image_state,repair_family,weighted_gap_points,local_record_found,local_capture_id,local_record_file,local_image_state,local_rights_review_required,local_rights_signal,rights_signal,future_action,upgrade_recommendation,automatic_upgrade_allowed,iiif_or_viewer_available,image_url_detected_excerpt,rights_text_excerpt,rights_basis_excerpt,review_note_excerpt,source_notes_excerpt
SURF-ER1830R015,99614267,https://www.loc.gov/pictures/item/99614267/,Indian trading [6 illustrations: 1. trader's store; 2. 2 en route; 3. preparing for trade; 4. the trading post and fort; 5. return from trading; 6. dissatisfaction - (Indian beating his wife)],IMG01,img01_item_image_and_rights_review,0.70,true,ER1830R017,data/capture_batch_early_region_1830_1880_records.csv,IMG01,true,no_item_rights_advisory_text,thumbnail_only_item_rights_missing,loc_item_rights_and_image_derivative_capture_required,item_rights_capture_required,false,https://www.loc.gov/pictures/item/99614267/,https://tile.loc.gov/storage-services/service/pnp/cph/3b30000/3b32000/3b32400/3b32445_150px.jpg,LOC search row exposes a thumbnail; item-level rights advisory was not captured in this pass.,LOC search row exposes a thumbnail; item-level rights advisory was not captured in this pass.,Thumbnail candidate only; keep source return visible.,
SURF-MC1930R029,98517082,https://www.loc.gov/pictures/item/98517082/,Ohio WPA paintings through March,IMG01,img01_item_image_and_rights_review,0.70,true,MC1930R029,data/capture_batch_midcentury_1930_1970_records.csv,IMG01,true,no_item_rights_advisory_text,thumbnail_only_item_rights_missing,loc_item_rights_and_image_derivative_capture_required,item_rights_capture_required,false,https://www.loc.gov/pictures/item/98517082/,https://tile.loc.gov/storage-services/service/pnp/cph/3b40000/3b48000/3b48800/3b48808_150px.jpg,LOC search row exposes a thumbnail; item-level rights advisory was not captured in this pass.,LOC search row exposes a thumbnail; item-level rights advisory was not captured in this pass.,Thumbnail candidate only; keep source return visible.,
SURF-MC1930R012,98510115,https://www.loc.gov/pictures/item/98510115/,"Pet show WPA recreation project, Dist. No. 2 /",IMG01,img01_item_image_and_rights_review,0.70,true,MC1930R012,data/capture_batch_midcentury_1930_1970_records.csv,IMG01,true,no_item_rights_advisory_text,thumbnail_only_item_rights_missing,loc_item_rights_and_image_derivative_capture_required,item_rights_capture_required,false,https://www.loc.gov/pictures/item/98510115/,https://tile.loc.gov/storage-services/service/pnp/cph/3b40000/3b48000/3b48800/3b48887_150px.jpg,LOC search row exposes a thumbnail; item-level rights advisory was not captured in this pass.,LOC search row exposes a thumbnail; item-level rights advisory was not captured in this pass.,Thumbnail candidate only; keep source return visible.,
SURF-ER1830R077,2018750887,https://www.loc.gov/pictures/item/2018750887/,Schools. Trade card image,IMG01,img01_item_image_and_rights_review,0.70,true,ER1830R077,data/capture_batch_early_region_1830_1930_records.csv,IMG01,true,no_item_rights_advisory_text,thumbnail_only_item_rights_missing,loc_item_rights_and_image_derivative_capture_required,item_rights_capture_required,false,https://www.loc.gov/pictures/item/2018750887/,https://tile.loc.gov/storage-services/service/pnp/gsc/5a00000/5a00400/5a00443_150px.jpg,LOC search row exposes a thumbnail; item-level rights advisory was not captured in this pass.,LOC search row exposes a thumbnail; item-level rights advisory was not captured in this pass.,Thumbnail candidate only; keep source return visible.,"In album: Schools, p. [54].; Item title devised.; Credit line: Gottscho-Schleisner Collection, Library of Congress, Prints and Photographs Division.; General information about the Gottscho-Schleisner Collection is..."
SURF-ER1830R011,2008677258,https://www.loc.gov/pictures/item/2008677258/,"Use Getz cockroach and bed bug exterminators, sold by all druggists I sink I tan hit it.",IMG01,img01_item_image_and_rights_review,0.70,true,ER1830R012,data/capture_batch_early_region_1830_1880_records.csv,IMG01,true,no_item_rights_advisory_text,thumbnail_only_item_rights_missing,loc_item_rights_and_image_derivative_capture_required,item_rights_capture_required,false,https://www.loc.gov/pictures/item/2008677258/,https://tile.loc.gov/storage-services/service/pnp/ppmsca/18400/18408_150px.jpg,LOC search row exposes a thumbnail; item-level rights advisory was not captured in this pass.,LOC search row exposes a thumbnail; item-level rights advisory was not captured in this pass.,Thumbnail candidate only; keep source return visible.,
SURF-MC1930R014,98513156,https://www.loc.gov/pictures/item/98513156/,WPA Federal Art Project exhibition - mural studies,IMG01,img01_item_image_and_rights_review,0.70,true,MC1930R014,data/capture_batch_midcentury_1930_1970_records.csv,IMG01,true,no_item_rights_advisory_text,thumbnail_only_item_rights_missing,loc_item_rights_and_image_derivative_capture_required,item_rights_capture_required,false,https://www.loc.gov/pictures/item/98513156/,https://tile.loc.gov/storage-services/service/pnp/cph/3b40000/3b48000/3b48800/3b48889_150px.jpg,LOC search row exposes a thumbnail; item-level rights advisory was not captured in this pass.,LOC search row exposes a thumbnail; item-level rights advisory was not captured in this pass.,Thumbnail candidate only; keep source return visible.,"Date stamped on verso: Mar 20 1937.; Work Projects Administration Poster Collection (Library of Congress).; Posters of the WPA / Christopher DeNoon. Los Angeles : Wheatly Press, c1987, no. 3"
SURF-MC1930R031,92510123,https://www.loc.gov/pictures/item/92510123/,"WPA Federal Art Project exhibition, 77 Newbury St., Boston, Nov. 28, Dec. 10, 1938",IMG01,img01_item_image_and_rights_review,0.70,true,MC1930R031,data/capture_batch_midcentury_1930_1970_records.csv,IMG01,true,no_item_rights_advisory_text,thumbnail_only_item_rights_missing,loc_item_rights_and_image_derivative_capture_required,item_rights_capture_required,false,https://www.loc.gov/pictures/item/92510123/,https://tile.loc.gov/storage-services/service/pnp/cph/3b40000/3b48000/3b48700/3b48728_150px.jpg,LOC search row exposes a thumbnail; item-level rights advisory was not captured in this pass.,LOC search row exposes a thumbnail; item-level rights advisory was not captured in this pass.,Thumbnail candidate only; keep source return visible.,"Work Projects Administration Poster Collection (Library of Congress).; Promotional goal: U.S. K92. 1938.; Date stamped on verso: Nov 25 1938.; Posters of the WPA / Christopher DeNoon. Los Angeles : Wheatly Press,..."
SURF-MC1930R015,2001695223,https://www.loc.gov/pictures/item/2001695223/,WPA Federal Theatre [presents] If ye break faith,IMG01,img01_item_image_and_rights_review,0.70,true,MC1930R015,data/capture_batch_midcentury_1930_1970_records.csv,IMG01,true,no_item_rights_advisory_text,thumbnail_only_item_rights_missing,loc_item_rights_and_image_derivative_capture_required,item_rights_capture_required,false,https://www.loc.gov/pictures/item/2001695223/,https://tile.loc.gov/storage-services/service/pnp/cph/3b40000/3b49000/3b49000/3b49035_150px.jpg,LOC search row exposes a thumbnail; item-level rights advisory was not captured in this pass.,LOC search row exposes a thumbnail; item-level rights advisory was not captured in this pass.,Thumbnail candidate only; keep source return visible.,
SURF-MC1930R034,98513244,https://www.loc.gov/pictures/item/98513244/,"WPA exhibition [of] Dorothy Loeb [and] Blanche Lazzell Federal Art Gallery, 77 Newbury St. Boston /",IMG01,img01_item_image_and_rights_review,0.70,true,MC1930R034,data/capture_batch_midcentury_1930_1970_records.csv,IMG01,true,no_item_rights_advisory_text,thumbnail_only_item_rights_missing,loc_item_rights_and_image_derivative_capture_required,item_rights_capture_required,false,https://www.loc.gov/pictures/item/98513244/,https://tile.loc.gov/storage-services/service/pnp/cph/3f00000/3f05000/3f05200/3f05286_150px.jpg,LOC search row exposes a thumbnail; item-level rights advisory was not captured in this pass.,LOC search row exposes a thumbnail; item-level rights advisory was not captured in this pass.,Thumbnail candidate only; keep source return visible.,
SURF-MC1930R035,98513249,https://www.loc.gov/pictures/item/98513249/,"WPA exhibition [of] Dorothy Loeb [and] Blanche Lazzell Federal Art Gallery, 77 Newbury St. Boston /",IMG01,img01_item_image_and_rights_review,0.70,true,MC1930R035,data/capture_batch_midcentury_1930_1970_records.csv,IMG01,true,no_item_rights_advisory_text,thumbnail_only_item_rights_missing,loc_item_rights_and_image_derivative_capture_required,item_rights_capture_required,false,https://www.loc.gov/pictures/item/98513249/,https://tile.loc.gov/storage-services/service/pnp/cph/3f00000/3f05000/3f05200/3f05287_150px.jpg,LOC search row exposes a thumbnail; item-level rights advisory was not captured in this pass.,LOC search row exposes a thumbnail; item-level rights advisory was not captured in this pass.,Thumbnail candidate only; keep source return visible.,
