geographyId,label,class,mappingState,transnational,broadRegion,historical,total_public_records,period_assignments,active_period_count,longest_consecutive_run,substantive_period_count,longest_substantive_run,first_active_period,last_active_period,year_min,year_max,median_records_per_active_period,peak_period,peak_period_records,peak_period_concentration_pct,off_peak_records,max_share_of_period_pct,periods_at_rank_1,periods_in_top_3,precise_records,precise_share_pct,approximate_records,range_records,source_count,top_source,top_source_share_pct,outside_top_source_records,reader_facing_records,reader_facing_share_pct,visual_route_records,visual_route_share_pct,flags,decision,reason_codes,records_by_period,share_by_period_pct,rank_by_period
SPTGEO:f7a1e0543e00af2f825804ce4640dc1e8831d57ddb0e86eed6cf066fe4ff835e,Portugal,country,mapped,False,False,False,36,36,2,2,2,2,1960s,1970s,1965,1979,18.0,1970s,29,80.6,7,2.6,0,0,36,100.0,0,0,1,www.loc.gov,100.0,0,36,100.0,36,100.0,SOURCE_DOMINANT_75|PEAK_DECADE_HALF,NOT_READY,INSUFFICIENT_TEMPORAL_CONTINUITY|SINGLE_PERIOD_CONCENTRATION|SOURCE_CONCENTRATION,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|7|29|0|0|0|0|0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.5|2.6|0.0|0.0|0.0|0.0|0.0,||||||||||||||||33|10|||||
SPTGEO:64aa6e6ea5220958106e57404aca07b64a3d09f21e06c9b2d845d1056073b6f0,South Africa,country,mapped,False,False,False,36,36,3,2,3,2,1960s,2000s,1965,2009,11,1960s,20,55.6,16,1.7,0,0,36,100.0,0,0,3,www.loc.gov,69.4,11,35,97.2,36,100.0,PEAK_DECADE_HALF,REVIEW,LOW_TOTAL_VOLUME|INSUFFICIENT_TEMPORAL_CONTINUITY|SINGLE_PERIOD_CONCENTRATION|SOURCE_CONCENTRATION|INSUFFICIENT_READER_FACING_RECORDS,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|20|5|0|0|11|0|0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.4|0.5|0.0|0.0|1.7|0.0|0.0,||||||||||||||||23|27|||5||
SPTGEO:9698ac2a6ac50d2cfcaafb9eae7b7c59c175d2d6ff1fff73ff652030bb2f81e0,Canada,country,mapped,False,False,False,32,32,7,3,3,1,1910s,2010s,1918,2015,2,1960s,11,34.4,21,1.9,0,0,32,100.0,0,0,3,www.artic.edu,50.0,16,32,100.0,32,100.0,,NOT_READY,INSUFFICIENT_TEMPORAL_CONTINUITY,0|0|0|0|0|0|0|0|0|0|0|1|5|0|0|0|11|1|0|1|11|2|0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.5|1.9|0.0|0.0|0.0|0.8|0.1|0.0|0.2|1.7|0.6|0.0,|||||||||||14|9||||28|44||17|7|21|
SPTGEO:b0f75ffbbaec68b620b1a85df45938c1a4d052d5e8ffe6ff97d59c399f4125cb,Israel / Palestine,transnational,mapped,True,False,False,31,31,3,2,2,2,1940s,1970s,1948,1978,10,1960s,18,58.1,13,1.3,0,0,31,100.0,0,0,1,www.loc.gov,100.0,0,31,100.0,31,100.0,SOURCE_DOMINANT_75|PEAK_DECADE_HALF|COMPOSITE_GOVERNED_IDENTITY,NOT_READY,INSUFFICIENT_TEMPORAL_CONTINUITY|SOURCE_CONCENTRATION,0|0|0|0|0|0|0|0|0|0|0|0|0|0|3|0|18|10|0|0|0|0|0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.1|0.0|1.3|0.9|0.0|0.0|0.0|0.0|0.0,||||||||||||||10||24|22|||||
SPTGEO:2a9d66d92e756c747118baa7436ad788121f07b6e99b653bbccd9db32c566fc3,Turkey,country,mapped,False,False,False,30,30,3,1,1,1,1920s,2020s,1924,2020,1,2020s,28,93.3,2,17.6,0,1,30,100.0,0,0,3,www.artic.edu,93.3,2,30,100.0,30,100.0,SOURCE_DOMINANT_75|PEAK_DECADE_HALF,NOT_READY,INSUFFICIENT_TEMPORAL_CONTINUITY|SINGLE_PERIOD_CONCENTRATION|SOURCE_CONCENTRATION,0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|28,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.4|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.2|0.0|17.6,||||||||||||13||||||||32||2
SPTGEO:3c420e26303316e935ce7757e5f7aafb2ab513325b4c16a811e8b09fc36b4d2c,Mexico,country,mapped,False,False,False,29,29,10,5,2,2,1890s,2010s,1890,2013,1.0,1960s,10,34.5,19,1.5,0,0,28,96.6,1,0,4,www.loc.gov,82.8,5,29,100.0,27,93.1,SOURCE_DOMINANT_75,NOT_READY,INSUFFICIENT_TEMPORAL_CONTINUITY,0|0|0|0|0|0|0|0|0|1|1|1|0|1|4|1|10|8|0|0|1|1|0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.5|0.6|0.5|0.0|0.4|1.5|0.3|0.7|0.7|0.0|0.0|0.2|0.3|0.0,|||||||||10|7|10||17|8|15|30|26|||33|25|
SPTGEO:0d6a258fddb51644fdf48df6a2a98589f75e1128ac1eed28b89aecd7afed7259,Aotearoa New Zealand,country,mapped,False,False,False,25,25,3,3,1,1,1960s,1980s,1960,1983,4,1960s,20,80.0,5,1.4,0,0,25,100.0,0,0,2,www.loc.gov,96.0,1,24,96.0,25,100.0,SOURCE_DOMINANT_75|PEAK_DECADE_HALF,NOT_READY,INSUFFICIENT_TEMPORAL_CONTINUITY|SINGLE_PERIOD_CONCENTRATION|SOURCE_CONCENTRATION|INSUFFICIENT_READER_FACING_RECORDS,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|20|4|1|0|0|0|0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.4|0.4|0.1|0.0|0.0|0.0|0.0,||||||||||||||||21|28|17||||
SPTGEO:c099588f05833896a35142f3a0817bfbded53920828a3a75573be5f3d7bdb05e,Vietnam,country,mapped,False,False,False,23,23,2,2,2,2,1960s,1970s,1965,1975,11.5,1960s,12,52.2,11,1.0,0,0,21,91.3,2,0,2,www.loc.gov,91.3,2,23,100.0,23,100.0,SOURCE_DOMINANT_75|PEAK_DECADE_HALF,NOT_READY,LOW_TOTAL_VOLUME|INSUFFICIENT_TEMPORAL_CONTINUITY|SOURCE_CONCENTRATION|INSUFFICIENT_READER_FACING_RECORDS,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|12|11|0|0|0|0|0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.9|1.0|0.0|0.0|0.0|0.0|0.0,||||||||||||||||26|21|||||
SPTGEO:7682e2b64e8560dfb4b4467278b9dc71f8c15181ebe0a93f427205e0aeb673c5,Federated States of Micronesia,country,mapped,False,False,False,22,22,3,3,3,3,2000s,2020s,2005,2021,8,2010s,8,36.4,14,5.0,0,0,22,100.0,0,0,1,www.spc.int,100.0,0,22,100.0,22,100.0,SOURCE_DOMINANT_75,NOT_READY,LOW_TOTAL_VOLUME|SOURCE_CONCENTRATION|INSUFFICIENT_READER_FACING_RECORDS,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|6|8|8,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.9|2.3|5.0,||||||||||||||||||||10|9|7
SPTGEO:8fe4f8429e5b9368e2e0f798bc3df022d89d3f5c4be0a6ca216e390eca4be679,Romania,country,mapped,False,False,False,18,18,2,2,2,2,1950s,1960s,1958,1969,9.0,1960s,11,61.1,7,1.8,0,0,18,100.0,0,0,2,collections.vam.ac.uk,55.6,8,8,44.4,18,100.0,PEAK_DECADE_HALF|READER_FACING_MINORITY,NOT_READY,LOW_TOTAL_VOLUME|INSUFFICIENT_TEMPORAL_CONTINUITY|INSUFFICIENT_READER_FACING_RECORDS,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|7|11|0|0|0|0|0|0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.8|0.8|0.0|0.0|0.0|0.0|0.0|0.0,|||||||||||||||8|27||||||
