macro_region,country_or_region,successful_sources,source_classes,protocols
Africa,Algeria,4,library:3; art gallery:1,(none detected):2; RSS/Atom;JSON-LD;WordPress REST:2
Africa,Angola,2,library:1; museum:1,(none detected):2
Africa,Benin,6,museum:5; cultural center:1,(none detected):3; RSS/Atom:1; RSS/Atom;WordPress REST:1; RSS/Atom;JSON-LD;WordPress REST;PDF:1
Africa,Botswana,7,library:4; museum:2; art gallery:1,RSS/Atom;JSON-LD;WordPress REST:2; IIIF:1; RSS/Atom;WordPress REST:1; (none detected):1; PDF:1; RSS/Atom;WordPress REST;PDF:1
Africa,Burkina Faso,1,library:1,(none detected):1
Africa,Cameroon,8,museum:5; art gallery:1; library:1; archives:1,(none detected):2; Static JS App;PDF:2; RSS/Atom;WordPress REST;Static JS App:1; RSS/Atom;JSON-LD;WordPress REST:1; Static JS App:1; RSS/Atom;WordPress REST:1
Africa,Cape Verde,2,museum:1; library:1,RSS/Atom;JSON-LD;WordPress REST;PDF:1; RSS/Atom;JSON-LD;WordPress REST:1
Africa,Chad,1,cultural center:1,(none detected):1
Africa,Cote d'Ivoire,2,art gallery:1; cultural center:1,RSS/Atom;Static JS App:1; RSS/Atom;JSON-LD;WordPress REST:1
Africa,DR Congo,4,cultural center:2; library:1; museum:1,RSS/Atom;WordPress REST:1; RSS/Atom;JSON-LD;WordPress REST:1; RSS/Atom;WordPress REST;Static JS App:1; PDF:1
Africa,Egypt,6,library:4; cultural center:1; museum:1,RSS/Atom:3; RSS/Atom;JSON-LD;WordPress REST:2; JSON-LD;PDF:1
Africa,Ethiopia,1,library:1,JSON-LD;PDF:1
Africa,Gabon,2,library:2,RSS/Atom;WordPress REST:1; (none detected):1
Africa,Ghana,7,library:6; art gallery:1,RSS/Atom;JSON-LD;WordPress REST;PDF:2; RSS/Atom;WordPress REST;Static JS App:1; Static JS App:1; IIIF;RSS/Atom;JSON-LD;WordPress REST:1; JSON-LD;WordPress REST:1; (none detected):1
Africa,Guinea,1,cultural center:1,RSS/Atom;JSON-LD;WordPress REST:1
Africa,Kenya,5,library:3; museum:2,(none detected):2; RSS/Atom;JSON-LD;WordPress REST;PDF:2; RSS/Atom;JSON-LD;WordPress REST:1
Africa,Malawi,2,museum:1; library:1,(none detected):1; RSS/Atom;JSON-LD;WordPress REST;Static JS App:1
Africa,Mali,2,cultural center:1; museum:1,RSS/Atom;JSON-LD;WordPress REST:1; WordPress REST;Static JS App:1
Africa,Mauritius,5,museum:2; cultural center:1; archives:1; library:1,RSS/Atom;JSON-LD;WordPress REST;Static JS App;PDF:2; (none detected):1; RSS/Atom:1; RSS/Atom;JSON-LD;WordPress REST;Static JS App:1
Africa,Morocco,3,library:2; museum:1,RSS/Atom;JSON-LD;WordPress REST;PDF:1; (none detected):1; PDF:1
Central Asia,Kazakhstan,22,museum:10; library:8; archives:4,(none detected):6; RSS/Atom;PDF:3; RSS/Atom:3; IIIF:3; RSS/Atom;WordPress REST:2; RSS/Atom;JSON-LD;WordPress REST:2; RSS/Atom;JSON-LD;WordPress REST;PDF:1; RSS/Atom;JSON-LD:1; JSON-LD;PDF:1
Central Asia,Kyrgyzstan,4,library:2; museum:2,IIIF;RSS/Atom;JSON-LD;WordPress REST:2; (none detected):2
Central Asia,Mongolia,12,museum:5; cultural center:3; library:3; art gallery:1,(none detected):6; Static JS App:2; RSS/Atom:2; RSS/Atom;JSON-LD;PDF:1; RSS/Atom;JSON-LD:1
Central Asia,Tajikistan,3,library:2; museum:1,RSS/Atom;JSON-LD;PDF:1; RSS/Atom;JSON-LD;WordPress REST:1; (none detected):1
Central Asia,Turkmenistan,1,museum:1,(none detected):1
Central Asia,Uzbekistan,13,museum:10; cultural center:2; library:1,(none detected):9; RSS/Atom;JSON-LD;WordPress REST:1; Static JS App:1; IIIF:1; WordPress REST:1
