capture_id,direction_id,direction_name,source_id,source_name,source_api_url,capture_status,source_identifier,source_record_url,source_title,source_creator,source_date_text,date_start,date_end,source_place_text,source_object_type,source_medium,source_collection,source_description,source_notes,source_subjects,source_rights_text,rights_uri,rights_basis,image_presence_code,image_presence_basis,image_state_evaluation,image_state_confidence,rights_review_required,image_state_review_note,image_frame_behavior,image_url_detected,local_copy_permitted,iiif_or_viewer_available,fallback_required,fallback_reason,raw_json_path,access_date,image_expectation,parser_status,display_mode,ocr_or_excerpt,source_description_raw,editorial_summary,historical_context_note,classification_rationale,uncertainty_note,citation_basis
CRB2026V3R00001,CRB2026V3,region_balance_v3_infer_postage_stamp,SRC-COMMONS-REGION-BALANCE-2026-V3,Wikimedia Commons file source / Stamp of Algeria - 1930 - Colnect 211184 - Tlecem.jpeg / page 98423326,https://commons.wikimedia.org/w/api.php?action=query&format=json&prop=imageinfo%7Ccategories&iiprop=url%7Cextmetadata%7Cmime%7Csize&iiurlwidth=1000&cllimit=20&generator=search&gsrnamespace=6&gsrsearch=%222009%22+%22postage+stamp%22&gsrlimit=100&gsroffset=0,captured,98423326,https://commons.wikimedia.org/wiki/File:Stamp_of_Algeria_-_1930_-_Colnect_211184_-_Tlecem.jpeg,Stamp of Algeria - 1930 - Colnect 211184 - Tlecem.jpeg,Post of Algeria,1930,1930,1930,Africa / Algeria,large region-balanced open image record; postage stamp,source-hosted open image; graphic design / visual communication candidate,https://colnect.com/en/stamps/stamp/211184-Tlecem-Centenaire_de_lAlg%C3%A9rie_Fran%C3%A7aise-Centenary_of_French_Algeri-Algeria,Stamp,Stamp of Algeria - 1930 - Colnect 211184 - Tlecem; 1930; 2021-01-02 13:25:17; https://colnect.com/en/stamps/stamp/211184-Tlecem-Centenaire_de_lAlg%C3%A9rie_Fran%C3%A7aise-Centenary_of_French_Algeri-Algeria,Africa; Algeria; postage stamp;,Wikimedia Commons open-license metadata: Public domain.,,Wikimedia Commons open-license metadata: Public domain.,IMG03,Wikimedia Commons open-license metadata: Public domain.,IMG03: Wikimedia Commons open-license metadata: Public domain.,high,false,Use source-hosted Commons image URL with attribution and source link; no local image copy.,open_image_frame,https://upload.wikimedia.org/wikipedia/commons/3/37/Stamp_of_Algeria_-_1930_-_Colnect_211184_-_Tlecem.jpeg,false,https://commons.wikimedia.org/wiki/File:Stamp_of_Algeria_-_1930_-_Colnect_211184_-_Tlecem.jpeg,false,,,2026-06-12,expected,ok,open_image_frame,Stamp,Stamp,Stamp of Algeria - 1930 - Colnect 211184 - Tlecem.jpeg is an open-license Commons image record linked to Africa / Algeria. Stamp,This open-image record strengthens undercovered Africa / Algeria visual evidence while preserving the Commons source page and any credited source/author.,"Selected by large region-balanced Commons query, open-license extmetadata, strict source-derived graphic-object filter, duplicate exclusion, and explicit object-year evidence.","Commons metadata can be user-maintained; verify object date, original creator, source credit, and visual-communication relevance before final scholarly use.",Wikimedia Commons. Stamp of Algeria - 1930 - Colnect 211184 - Tlecem.jpeg. https://commons.wikimedia.org/wiki/File:Stamp_of_Algeria_-_1930_-_Colnect_211184_-_Tlecem.jpeg. Accessed 2026-06-12.
CRB2026V3R00002,CRB2026V3,region_balance_v3_infer_postage_stamp,SRC-COMMONS-REGION-BALANCE-2026-V3,"Wikimedia Commons file source / Egyptian telegram receipt, M. Weldon, London, 35 words, April 24, 1887 with attached revenue stamp.jpg / page 183674139",https://commons.wikimedia.org/w/api.php?action=query&format=json&prop=imageinfo%7Ccategories&iiprop=url%7Cextmetadata%7Cmime%7Csize&iiurlwidth=1000&cllimit=20&generator=search&gsrnamespace=6&gsrsearch=%222026%22+%22postage+stamp%22&gsrlimit=100&gsroffset=0,captured,183674139,"https://commons.wikimedia.org/wiki/File:Egyptian_telegram_receipt,_M._Weldon,_London,_35_words,_April_24,_1887_with_attached_revenue_stamp.jpg","Egyptian telegram receipt, M. Weldon, London, 35 words, April 24, 1887 with attached revenue stamp.jpg",Tek monde,1887,1887,1887,Africa / Egypt,large region-balanced open image record; postage stamp,source-hosted open image; graphic design / visual communication candidate,Own work,"10 Para Ottoman revenue stamp attached to a telegram receipt no. 224, April 24,1897, Weldon 35 words. 13 x 9 cms","Egyptian telegram receipt, M. Weldon, London, 35 words, April 24, 1887 with attached revenue stamp; 2026-02-10 10:15:27; 2026-02-10 12:43:48; Own work",Africa; Egypt; postage stamp;,Wikimedia Commons open-license metadata: CC BY-SA 4.0.,,Wikimedia Commons open-license metadata: CC BY-SA 4.0.,IMG03,Wikimedia Commons open-license metadata: CC BY-SA 4.0.,IMG03: Wikimedia Commons open-license metadata: CC BY-SA 4.0.,high,false,Use source-hosted Commons image URL with attribution and source link; no local image copy.,open_image_frame,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Egyptian_telegram_receipt%2C_M._Weldon%2C_London%2C_35_words%2C_April_24%2C_1887_with_attached_revenue_stamp.jpg/1280px-Egyptian_telegram_receipt%2C_M._Weldon%2C_London%2C_35_words%2C_April_24%2C_1887_with_attached_revenue_stamp.jpg,false,"https://commons.wikimedia.org/wiki/File:Egyptian_telegram_receipt,_M._Weldon,_London,_35_words,_April_24,_1887_with_attached_revenue_stamp.jpg",false,,,2026-06-12,expected,ok,open_image_frame,"10 Para Ottoman revenue stamp attached to a telegram receipt no. 224, April 24,1897, Weldon 35 words. 13 x 9 cms","10 Para Ottoman revenue stamp attached to a telegram receipt no. 224, April 24,1897, Weldon 35 words. 13 x 9 cms","Egyptian telegram receipt, M. Weldon, London, 35 words, April 24, 1887 with attached revenue stamp.jpg is an open-license Commons image record linked to Africa / Egypt. 10 Para Ottoman revenue stamp attached to a telegram receipt no. 224, April 24,1897, Weldon 35 words. 13 x 9 cms",This open-image record strengthens undercovered Africa / Egypt visual evidence while preserving the Commons source page and any credited source/author.,"Selected by large region-balanced Commons query, open-license extmetadata, strict source-derived graphic-object filter, duplicate exclusion, and explicit object-year evidence.","Commons metadata can be user-maintained; verify object date, original creator, source credit, and visual-communication relevance before final scholarly use.","Wikimedia Commons. Egyptian telegram receipt, M. Weldon, London, 35 words, April 24, 1887 with attached revenue stamp.jpg. https://commons.wikimedia.org/wiki/File:Egyptian_telegram_receipt,_M._Weldon,_London,_35_words,_April_24,_1887_with_attached_revenue_stamp.jpg. Accessed 2026-06-12."
CRB2026V3R00003,CRB2026V3,region_balance_v3_infer_film_poster,SRC-COMMONS-REGION-BALANCE-2026-V3,Wikimedia Commons file source / الليل لنا.jpg / page 115473287,https://commons.wikimedia.org/w/api.php?action=query&format=json&prop=imageinfo%7Ccategories&iiprop=url%7Cextmetadata%7Cmime%7Csize&iiurlwidth=1000&cllimit=20&generator=search&gsrnamespace=6&gsrsearch=%222022%22+%22film+poster%22&gsrlimit=50&gsroffset=0,captured,115473287,https://commons.wikimedia.org/wiki/File:%D8%A7%D9%84%D9%84%D9%8A%D9%84_%D9%84%D9%86%D8%A7.jpg,الليل لنا.jpg,Sweety 1990,1949,1949,1949,Africa / Egypt,large region-balanced open image record; film poster,source-hosted open image; graphic design / visual communication candidate,https://www.flickr.com/photos/194928289@N07/51897049637/,ملصق فيلم الليل لنا (1949),الليل لنا; 1949; 2022-02-22 22:03:49; https://www.flickr.com/photos/194928289@N07/51897049637/; Category:1949 films Category:Al lailu lana Category:Cinema of Egypt Category:Film posters,Africa; Egypt; film poster; Category:1949 films Category:Al lailu lana Category:Cinema of Egypt Category:Film posters,Wikimedia Commons open-license metadata: Public domain.,,Wikimedia Commons open-license metadata: Public domain.,IMG03,Wikimedia Commons open-license metadata: Public domain.,IMG03: Wikimedia Commons open-license metadata: Public domain.,high,false,Use source-hosted Commons image URL with attribution and source link; no local image copy.,open_image_frame,https://upload.wikimedia.org/wikipedia/commons/5/55/%D8%A7%D9%84%D9%84%D9%8A%D9%84_%D9%84%D9%86%D8%A7.jpg,false,https://commons.wikimedia.org/wiki/File:%D8%A7%D9%84%D9%84%D9%8A%D9%84_%D9%84%D9%86%D8%A7.jpg,false,,,2026-06-12,expected,ok,open_image_frame,ملصق فيلم الليل لنا (1949),ملصق فيلم الليل لنا (1949),الليل لنا.jpg is an open-license Commons image record linked to Africa / Egypt. ملصق فيلم الليل لنا (1949),This open-image record strengthens undercovered Africa / Egypt visual evidence while preserving the Commons source page and any credited source/author.,"Selected by large region-balanced Commons query, open-license extmetadata, strict source-derived graphic-object filter, duplicate exclusion, and explicit object-year evidence.","Commons metadata can be user-maintained; verify object date, original creator, source credit, and visual-communication relevance before final scholarly use.",Wikimedia Commons. الليل لنا.jpg. https://commons.wikimedia.org/wiki/File:%D8%A7%D9%84%D9%84%D9%8A%D9%84_%D9%84%D9%86%D8%A7.jpg. Accessed 2026-06-12.
CRB2026V3R00004,CRB2026V3,region_balance_v3_infer_postage_stamp,SRC-COMMONS-REGION-BALANCE-2026-V3,"Wikimedia Commons file source / Egypt stamp Tomb of aggressors (1957), Saladin.jpg / page 115602233",https://commons.wikimedia.org/w/api.php?action=query&format=json&prop=imageinfo%7Ccategories&iiprop=url%7Cextmetadata%7Cmime%7Csize&iiurlwidth=1000&cllimit=20&generator=search&gsrnamespace=6&gsrsearch=%222022%22+%22postage+stamp%22&gsrlimit=100&gsroffset=0,captured,115602233,"https://commons.wikimedia.org/wiki/File:Egypt_stamp_Tomb_of_aggressors_(1957),_Saladin.jpg","Egypt stamp Tomb of aggressors (1957), Saladin.jpg",Egypt Post,1957,1957,1957,Africa / Egypt,large region-balanced open image record; postage stamp,source-hosted open image; graphic design / visual communication candidate,"(2017) Scott Standard Postage Stamp Catalogue , 2, Scott Publishing, p. 1,155 ISBN : 0894875120 .","Stamp from Egypt, Issue of 1957, TOMB OF Aggressors: Saladin and battle of Hitten","Egypt stamp Tomb of aggressors (1957), Saladin; 1957-07-26; 2022-02-27 12:31:35; (2017) Scott Standard Postage Stamp Catalogue , 2, Scott Publishing, p. 1,155 ISBN : 0894875120 .",Africa; Egypt; postage stamp;,Wikimedia Commons open-license metadata: Public domain.,,Wikimedia Commons open-license metadata: Public domain.,IMG03,Wikimedia Commons open-license metadata: Public domain.,IMG03: Wikimedia Commons open-license metadata: Public domain.,high,false,Use source-hosted Commons image URL with attribution and source link; no local image copy.,open_image_frame,https://upload.wikimedia.org/wikipedia/commons/9/9e/Egypt_stamp_Tomb_of_aggressors_%281957%29%2C_Saladin.jpg,false,"https://commons.wikimedia.org/wiki/File:Egypt_stamp_Tomb_of_aggressors_(1957),_Saladin.jpg",false,,,2026-06-12,expected,ok,open_image_frame,"Stamp from Egypt, Issue of 1957, TOMB OF Aggressors: Saladin and battle of Hitten","Stamp from Egypt, Issue of 1957, TOMB OF Aggressors: Saladin and battle of Hitten","Egypt stamp Tomb of aggressors (1957), Saladin.jpg is an open-license Commons image record linked to Africa / Egypt. Stamp from Egypt, Issue of 1957, TOMB OF Aggressors: Saladin and battle of Hitten",This open-image record strengthens undercovered Africa / Egypt visual evidence while preserving the Commons source page and any credited source/author.,"Selected by large region-balanced Commons query, open-license extmetadata, strict source-derived graphic-object filter, duplicate exclusion, and explicit object-year evidence.","Commons metadata can be user-maintained; verify object date, original creator, source credit, and visual-communication relevance before final scholarly use.","Wikimedia Commons. Egypt stamp Tomb of aggressors (1957), Saladin.jpg. https://commons.wikimedia.org/wiki/File:Egypt_stamp_Tomb_of_aggressors_(1957),_Saladin.jpg. Accessed 2026-06-12."
CRB2026V3R00005,CRB2026V3,region_balance_v3_infer_propaganda_poster,SRC-COMMONS-REGION-BALANCE-2026-V3,Wikimedia Commons file source / Mengistu Haile Mariam propaganda poster.jpg / page 162641994,https://commons.wikimedia.org/w/api.php?action=query&format=json&prop=imageinfo%7Ccategories&iiprop=url%7Cextmetadata%7Cmime%7Csize&iiurlwidth=1000&cllimit=20&generator=search&gsrnamespace=6&gsrsearch=%222004%22+%22propaganda+poster%22&gsrlimit=50&gsroffset=0,captured,162641994,https://commons.wikimedia.org/wiki/File:Mengistu_Haile_Mariam_propaganda_poster.jpg,Mengistu Haile Mariam propaganda poster.jpg,Unknown author Unknown author,1977,1977,1977,Africa / Ethiopia,large region-balanced open image record; propaganda poster,source-hosted open image; graphic design / visual communication candidate,https://www.ethiopiaintheory.org/sediments,Propaganda poster of the Ethiopian dictator Mengistu Haile Mariam,Mengistu Haile Mariam propaganda poster; 1977-1980s; 2025-03-22 20:28:39; https://www.ethiopiaintheory.org/sediments,Africa; Ethiopia; propaganda poster;,Wikimedia Commons open-license metadata: Public domain.,,Wikimedia Commons open-license metadata: Public domain.,IMG03,Wikimedia Commons open-license metadata: Public domain.,IMG03: Wikimedia Commons open-license metadata: Public domain.,high,false,Use source-hosted Commons image URL with attribution and source link; no local image copy.,open_image_frame,https://upload.wikimedia.org/wikipedia/commons/4/4e/Mengistu_Haile_Mariam_propaganda_poster.jpg,false,https://commons.wikimedia.org/wiki/File:Mengistu_Haile_Mariam_propaganda_poster.jpg,false,,,2026-06-12,expected,ok,open_image_frame,Propaganda poster of the Ethiopian dictator Mengistu Haile Mariam,Propaganda poster of the Ethiopian dictator Mengistu Haile Mariam,Mengistu Haile Mariam propaganda poster.jpg is an open-license Commons image record linked to Africa / Ethiopia. Propaganda poster of the Ethiopian dictator Mengistu Haile Mariam,This open-image record strengthens undercovered Africa / Ethiopia visual evidence while preserving the Commons source page and any credited source/author.,"Selected by large region-balanced Commons query, open-license extmetadata, strict source-derived graphic-object filter, duplicate exclusion, and explicit object-year evidence.","Commons metadata can be user-maintained; verify object date, original creator, source credit, and visual-communication relevance before final scholarly use.",Wikimedia Commons. Mengistu Haile Mariam propaganda poster.jpg. https://commons.wikimedia.org/wiki/File:Mengistu_Haile_Mariam_propaganda_poster.jpg. Accessed 2026-06-12.
CRB2026V3R00006,CRB2026V3,region_balance_v3_infer_poster,SRC-COMMONS-REGION-BALANCE-2026-V3,"Wikimedia Commons file source / Band Aid poster signed by Bob Geldof at Acropole Hotel, Khartoum (Sudan).jpg / page 133288983",https://commons.wikimedia.org/w/api.php?action=query&format=json&prop=imageinfo%7Ccategories&iiprop=url%7Cextmetadata%7Cmime%7Csize&iiurlwidth=1000&cllimit=20&generator=search&gsrnamespace=6&gsrsearch=%222014%22+%22poster%22&gsrlimit=100&gsroffset=0,captured,133288983,"https://commons.wikimedia.org/wiki/File:Band_Aid_poster_signed_by_Bob_Geldof_at_Acropole_Hotel,_Khartoum_(Sudan).jpg","Band Aid poster signed by Bob Geldof at Acropole Hotel, Khartoum (Sudan).jpg",Scott.Haddow,1980,1980,1980,Africa / Ethiopia,large region-balanced open image record; poster,source-hosted open image; graphic design / visual communication candidate,Own work,"Signed poster from Bob Geldof to the Pagoulatos family and staff at the Acropole Hotel (Khartoum, Sudan). Presented as a gift for supporting Band Aid during the 1980s drought in Darfur and Ethiopia. The poster was hung in the hotel office.","Band Aid poster signed by Bob Geldof at Acropole Hotel, Khartoum (Sudan); 2014-03-11 16:29:13; 2023-06-19 12:14:15; Own work",Africa; Ethiopia; poster;,Wikimedia Commons open-license metadata: CC BY-SA 4.0.,,Wikimedia Commons open-license metadata: CC BY-SA 4.0.,IMG03,Wikimedia Commons open-license metadata: CC BY-SA 4.0.,IMG03: Wikimedia Commons open-license metadata: CC BY-SA 4.0.,high,false,Use source-hosted Commons image URL with attribution and source link; no local image copy.,open_image_frame,https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Band_Aid_poster_signed_by_Bob_Geldof_at_Acropole_Hotel%2C_Khartoum_%28Sudan%29.jpg/1280px-Band_Aid_poster_signed_by_Bob_Geldof_at_Acropole_Hotel%2C_Khartoum_%28Sudan%29.jpg,false,"https://commons.wikimedia.org/wiki/File:Band_Aid_poster_signed_by_Bob_Geldof_at_Acropole_Hotel,_Khartoum_(Sudan).jpg",false,,,2026-06-12,expected,ok,open_image_frame,"Signed poster from Bob Geldof to the Pagoulatos family and staff at the Acropole Hotel (Khartoum, Sudan). Presented as a gift for supporting Band Aid during the 1980s drought in Darfur and Ethiopia. The poster was hung in the hotel office.","Signed poster from Bob Geldof to the Pagoulatos family and staff at the Acropole Hotel (Khartoum, Sudan). Presented as a gift for supporting Band Aid during the 1980s drought in Darfur and Ethiopia. The poster was hung in the hotel office.","Band Aid poster signed by Bob Geldof at Acropole Hotel, Khartoum (Sudan).jpg is an open-license Commons image record linked to Africa / Ethiopia. Signed poster from Bob Geldof to the Pagoulatos family and staff at the Acropole Hotel (Khartoum, Sudan). Presented as a gift for supporting Band Aid during the 1980s drought in Darfur and Ethiopia. The poster was hung in the hotel office.",This open-image record strengthens undercovered Africa / Ethiopia visual evidence while preserving the Commons source page and any credited source/author.,"Selected by large region-balanced Commons query, open-license extmetadata, strict source-derived graphic-object filter, duplicate exclusion, and explicit object-year evidence.","Commons metadata can be user-maintained; verify object date, original creator, source credit, and visual-communication relevance before final scholarly use.","Wikimedia Commons. Band Aid poster signed by Bob Geldof at Acropole Hotel, Khartoum (Sudan).jpg. https://commons.wikimedia.org/wiki/File:Band_Aid_poster_signed_by_Bob_Geldof_at_Acropole_Hotel,_Khartoum_(Sudan).jpg. Accessed 2026-06-12."
CRB2026V3R00007,CRB2026V3,region_balance_v3_nigeria_postage_stamp,SRC-COMMONS-REGION-BALANCE-2026-V3,Wikimedia Commons file source / British stamps used at Akassa.jpg / page 11292908,https://commons.wikimedia.org/w/api.php?action=query&format=json&prop=imageinfo%7Ccategories&iiprop=url%7Cextmetadata%7Cmime%7Csize&iiurlwidth=1000&cllimit=20&generator=categorymembers&gcmtitle=Category%3APostage+stamps+of+Nigeria&gcmnamespace=6&gcmlimit=50,captured,11292908,https://commons.wikimedia.org/wiki/File:British_stamps_used_at_Akassa.jpg,British stamps used at Akassa.jpg,UK Government,1887,1887,1887,Africa / Nigeria,large region-balanced open image record; postage stamp,source-hosted open image; graphic design / visual communication candidate,Scan of original,British stamps used at Akassa in the Niger Territories.,"British stamps used at Akassa; 1898; 2010-08-25 23:48:24; Scan of original; Category:1887 Jubilee series Category:1898 postmarks Category:Akassa, Nigeria Category:British stamps used abroad Category:Postage stamps of Nigeria Category:Postmarks of Nigeria Category:Royal Niger Company Category:UK Government artistic works","Africa; Nigeria; postage stamp; Category:1887 Jubilee series Category:1898 postmarks Category:Akassa, Nigeria Category:British stamps used abroad Category:Postage stamps of Nigeria Category:Postmarks of Nigeria Category:Royal Niger Company Category:UK Government artistic works",Wikimedia Commons open-license metadata: Public domain.,,Wikimedia Commons open-license metadata: Public domain.,IMG03,Wikimedia Commons open-license metadata: Public domain.,IMG03: Wikimedia Commons open-license metadata: Public domain.,high,false,Use source-hosted Commons image URL with attribution and source link; no local image copy.,open_image_frame,https://upload.wikimedia.org/wikipedia/commons/1/16/British_stamps_used_at_Akassa.jpg,false,https://commons.wikimedia.org/wiki/File:British_stamps_used_at_Akassa.jpg,false,,,2026-06-12,expected,ok,open_image_frame,British stamps used at Akassa in the Niger Territories.,British stamps used at Akassa in the Niger Territories.,British stamps used at Akassa.jpg is an open-license Commons image record linked to Africa / Nigeria. British stamps used at Akassa in the Niger Territories.,This open-image record strengthens undercovered Africa / Nigeria visual evidence while preserving the Commons source page and any credited source/author.,"Selected by large region-balanced Commons query, open-license extmetadata, strict source-derived graphic-object filter, duplicate exclusion, and explicit object-year evidence.","Commons metadata can be user-maintained; verify object date, original creator, source credit, and visual-communication relevance before final scholarly use.",Wikimedia Commons. British stamps used at Akassa.jpg. https://commons.wikimedia.org/wiki/File:British_stamps_used_at_Akassa.jpg. Accessed 2026-06-12.
CRB2026V3R00008,CRB2026V3,region_balance_v3_nigeria_postage_stamp,SRC-COMMONS-REGION-BALANCE-2026-V3,Wikimedia Commons file source / Nigeria stamps.jpg / page 56284529,https://commons.wikimedia.org/w/api.php?action=query&format=json&prop=imageinfo%7Ccategories&iiprop=url%7Cextmetadata%7Cmime%7Csize&iiurlwidth=1000&cllimit=20&generator=categorymembers&gcmtitle=Category%3APostage+stamps+of+Nigeria&gcmnamespace=6&gcmlimit=50,captured,56284529,https://commons.wikimedia.org/wiki/File:Nigeria_stamps.jpg,Nigeria stamps.jpg,British Government,1946,1946,1946,Africa / Nigeria,large region-balanced open image record; postage stamp,source-hosted open image; graphic design / visual communication candidate,Scan of originals,Nigeria stamps.,Nigeria stamps; 1959; 2017-02-14 21:20:29; Scan of originals; Category:1946 stamps of Nigeria Category:1953 stamps of Nigeria,Africa; Nigeria; postage stamp; Category:1946 stamps of Nigeria Category:1953 stamps of Nigeria,Wikimedia Commons open-license metadata: Public domain.,,Wikimedia Commons open-license metadata: Public domain.,IMG03,Wikimedia Commons open-license metadata: Public domain.,IMG03: Wikimedia Commons open-license metadata: Public domain.,high,false,Use source-hosted Commons image URL with attribution and source link; no local image copy.,open_image_frame,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Nigeria_stamps.jpg/1280px-Nigeria_stamps.jpg,false,https://commons.wikimedia.org/wiki/File:Nigeria_stamps.jpg,false,,,2026-06-12,expected,ok,open_image_frame,Nigeria stamps.,Nigeria stamps.,Nigeria stamps.jpg is an open-license Commons image record linked to Africa / Nigeria. Nigeria stamps.,This open-image record strengthens undercovered Africa / Nigeria visual evidence while preserving the Commons source page and any credited source/author.,"Selected by large region-balanced Commons query, open-license extmetadata, strict source-derived graphic-object filter, duplicate exclusion, and explicit object-year evidence.","Commons metadata can be user-maintained; verify object date, original creator, source credit, and visual-communication relevance before final scholarly use.",Wikimedia Commons. Nigeria stamps.jpg. https://commons.wikimedia.org/wiki/File:Nigeria_stamps.jpg. Accessed 2026-06-12.
CRB2026V3R00009,CRB2026V3,region_balance_v3_nigeria_postage_stamp,SRC-COMMONS-REGION-BALANCE-2026-V3,Wikimedia Commons file source / Stamp Cameroons 1sh-250px.jpg / page 3415691,https://commons.wikimedia.org/w/api.php?action=query&format=json&prop=imageinfo%7Ccategories&iiprop=url%7Cextmetadata%7Cmime%7Csize&iiurlwidth=1000&cllimit=20&generator=categorymembers&gcmtitle=Category%3APostage+stamps+of+Nigeria&gcmnamespace=6&gcmlimit=50,captured,3415691,https://commons.wikimedia.org/wiki/File:Stamp_Cameroons_1sh-250px.jpg,Stamp Cameroons 1sh-250px.jpg,The original uploader was Stan Shebs at English Wikipedia .,1960,1960,1960,Africa / Nigeria,large region-balanced open image record; postage stamp,source-hosted open image; graphic design / visual communication candidate,Transferred from en.wikipedia to Commons.,"Scan by en:User:Stan Shebs of a en:Cameroons 1sh stamp used at Mubi , 250px across",Stamp Cameroons 1sh-250px; 13 July 2003 (original upload date); 2008-01-18 18:24:43; Transferred from en.wikipedia to Commons.; Category:1960 postmarks Category:1960 stamps of British Cameroons Category:Overprints on stamps of the British Empire Category:Postage stamps of Nigeria Category:Timber Category:UK Government artistic works,Africa; Nigeria; postage stamp; Category:1960 postmarks Category:1960 stamps of British Cameroons Category:Overprints on stamps of the British Empire Category:Postage stamps of Nigeria Category:Timber Category:UK Government artistic works,Wikimedia Commons open-license metadata: Public domain.,,Wikimedia Commons open-license metadata: Public domain.,IMG03,Wikimedia Commons open-license metadata: Public domain.,IMG03: Wikimedia Commons open-license metadata: Public domain.,high,false,Use source-hosted Commons image URL with attribution and source link; no local image copy.,open_image_frame,https://upload.wikimedia.org/wikipedia/commons/2/21/Stamp_Cameroons_1sh-250px.jpg,false,https://commons.wikimedia.org/wiki/File:Stamp_Cameroons_1sh-250px.jpg,false,,,2026-06-12,expected,ok,open_image_frame,"Scan by en:User:Stan Shebs of a en:Cameroons 1sh stamp used at Mubi , 250px across","Scan by en:User:Stan Shebs of a en:Cameroons 1sh stamp used at Mubi , 250px across","Stamp Cameroons 1sh-250px.jpg is an open-license Commons image record linked to Africa / Nigeria. Scan by en:User:Stan Shebs of a en:Cameroons 1sh stamp used at Mubi , 250px across",This open-image record strengthens undercovered Africa / Nigeria visual evidence while preserving the Commons source page and any credited source/author.,"Selected by large region-balanced Commons query, open-license extmetadata, strict source-derived graphic-object filter, duplicate exclusion, and explicit object-year evidence.","Commons metadata can be user-maintained; verify object date, original creator, source credit, and visual-communication relevance before final scholarly use.",Wikimedia Commons. Stamp Cameroons 1sh-250px.jpg. https://commons.wikimedia.org/wiki/File:Stamp_Cameroons_1sh-250px.jpg. Accessed 2026-06-12.
CRB2026V3R00010,CRB2026V3,region_balance_v3_nigeria_postage_stamp,SRC-COMMONS-REGION-BALANCE-2026-V3,Wikimedia Commons file source / Post office stamps.jpg / page 64343409,https://commons.wikimedia.org/w/api.php?action=query&format=json&prop=imageinfo%7Ccategories&iiprop=url%7Cextmetadata%7Cmime%7Csize&iiurlwidth=1000&cllimit=20&generator=categorymembers&gcmtitle=Category%3APostage+stamps+of+Nigeria&gcmnamespace=6&gcmlimit=50,captured,64343409,https://commons.wikimedia.org/wiki/File:Post_office_stamps.jpg,Post office stamps.jpg,Johnexx,2017,2017,2017,Africa / Nigeria,large region-balanced open image record; postage stamp,source-hosted open image; graphic design / visual communication candidate,Own work,"This is an image of ""African people at work"" from",Post office stamps; 2017-11-26; 2017-11-26 01:16:58; Own work,Africa; Nigeria; postage stamp;,Wikimedia Commons open-license metadata: CC BY-SA 4.0.,,Wikimedia Commons open-license metadata: CC BY-SA 4.0.,IMG03,Wikimedia Commons open-license metadata: CC BY-SA 4.0.,IMG03: Wikimedia Commons open-license metadata: CC BY-SA 4.0.,high,false,Use source-hosted Commons image URL with attribution and source link; no local image copy.,open_image_frame,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Post_office_stamps.jpg/1280px-Post_office_stamps.jpg,false,https://commons.wikimedia.org/wiki/File:Post_office_stamps.jpg,false,,,2026-06-12,expected,ok,open_image_frame,"This is an image of ""African people at work"" from","This is an image of ""African people at work"" from","Post office stamps.jpg is an open-license Commons image record linked to Africa / Nigeria. This is an image of ""African people at work"" from",This open-image record strengthens undercovered Africa / Nigeria visual evidence while preserving the Commons source page and any credited source/author.,"Selected by large region-balanced Commons query, open-license extmetadata, strict source-derived graphic-object filter, duplicate exclusion, and explicit object-year evidence.","Commons metadata can be user-maintained; verify object date, original creator, source credit, and visual-communication relevance before final scholarly use.",Wikimedia Commons. Post office stamps.jpg. https://commons.wikimedia.org/wiki/File:Post_office_stamps.jpg. Accessed 2026-06-12.
