metric,value
records_captured,500
distinct_active_source_names,500
query_failures,10
target_rows,500
target_met,true
minimum_source_derived_text_length,120
median_source_derived_text_length,294
year_2026_count,3
year_2026_rate,0.60
image_state:IMG03,500
period:2000_2026,354
period:1930_1970,67
period:1970_2000,44
period:pre_1930,35
macro_region:Southeast Asia,315
macro_region:Eastern Europe,79
macro_region:Middle East and North Africa,30
macro_region:South Asia,30
macro_region:East Asia,21
macro_region:Africa,16
macro_region:Latin America,6
macro_region:Central Asia,3
reject:base_filter,3707
reject:country_cap,250
reject:duplicate,235
reject:weak_graphic_evidence,46
reject:reject_non_graphic_object,11
