scope	refname	object_sha
LOCAL	refs/heads/refactor/v49-phase2b-performance	11e7b82d27b2774273d2f0d68904632246dabd37
LOCAL	refs/heads/research/v49-design-history-relation-grammar-round1-20260825	4bd82deba482ec2fbf8c4856080151416fb8ee83
LOCAL	refs/heads/research/v49-design-history-relation-vocabulary-round1-20260825	47978c519c3c7141690e3894315a1ef1b7a403db
LOCAL	refs/heads/research/v49-exploration-composition-engine-round1-20260826	aca7b9627ca42776d966f96ce4bd03db1f296ae3
LOCAL	refs/heads/research/v49-exploration-composition-review-round1-20260825	6dacbbfa962d687ceee64b23d5437369f845d4f4
LOCAL	refs/heads/research/v49-exploration-generic-association-calibration-round1-20260826	cf4490e93449a46823a6de0c0676e431a7da6738
LOCAL	refs/heads/research/v49-exploration-nlp-semantic-round1-20260824	3d7536b4588032d806b6492a1be97b59891ca031
LOCAL	refs/heads/research/v49-exploration-real-database-round1-20260826	8de5d1dedffc6fd70d8b03cd63fdec74c0d40f6e
LOCAL	refs/heads/research/v49-trace-positioning-20260816	3128a6e544d3a223b9c5cc496859e983948200d3
LOCAL	refs/heads/verify/v49-read-platform-runtime-acceptance-20260815	64de7ab1ccc190b433266e3a793b9ff7d4c06016
LOCAL	refs/remotes/origin/HEAD	8de5d1dedffc6fd70d8b03cd63fdec74c0d40f6e
LOCAL	refs/remotes/origin/backup/main-before-round11-round12-integration-20260825	cc311ab0c9a74731cc1bb0158579708a8a9158fc
LOCAL	refs/remotes/origin/backup/round12-sealed-before-integration-20260825	fc11f033d2fcdbb98130879cdbd3e4a52890e5d2
LOCAL	refs/remotes/origin/chore/v49-phase2b-evidence-repair-20260815	60329e8ec713221bbf42318a4f4c7477e6eb5a72
LOCAL	refs/remotes/origin/chore/v49-repository-hygiene-database-freeze-20260821	c0ca9a1d4745cfd1054b924c648e57887830960d
LOCAL	refs/remotes/origin/chore/v49-round11-round12-history-coordination-20260825	83f1fba3464f5828fcfd15a1c557035bb1341bf3
LOCAL	refs/remotes/origin/codex/v47-data-expansion	f2cf492b480139776ae674d5c26ccfd845e45e45
LOCAL	refs/remotes/origin/codex/v48-trace-visualization	6b4a60ec11f303a0d1c04a735daf9f2818939c0f
LOCAL	refs/remotes/origin/codex/v48-visual-analytics	35969e54fd2fbf9c1e40e0d35d7650c4cac4847c
LOCAL	refs/remotes/origin/feat/v49-context-canvas-functional-round1-20260823	0a0ebbebd3688dd5db16d2a8a230eb4f82a99e55
LOCAL	refs/remotes/origin/feat/v49-context-canvas-realdata-validation-20260823	b60ac6faf5f249e4c0d40697e9255770277cac03
LOCAL	refs/remotes/origin/feat/v49-context-governance-closure-20260823	5767928180b90a4194cc47e325d78ab8d9226b48
LOCAL	refs/remotes/origin/feat/v49-exploration-constraint-kernel-preprogramming-round1-20260825	5ca999b53d9a5d18b47317817402f9e51ad26cec
LOCAL	refs/remotes/origin/feat/v49-exploration-inquiry-flow-engine-round1-20260825	fc11f033d2fcdbb98130879cdbd3e4a52890e5d2
LOCAL	refs/remotes/origin/feat/v49-exploration-similarity-research-round1-20260824	580587a74f400d8a04d995937f4efb31e6621dd8
LOCAL	refs/remotes/origin/feat/v49-fuzzy-search-round1-20260823	f9bdfdd293023592ddc6af92858a24857c5a532a
LOCAL	refs/remotes/origin/feat/v49-read-platform	6e66186f2626bd10272b3cd408778f2ac091a598
LOCAL	refs/remotes/origin/feat/v49-spacetime-closure-exploration-discovery-20260824	0e311f0b88b4adc3cbfe2080ac98d622013cc6d3
LOCAL	refs/remotes/origin/feat/v49-spacetime-gis-functional-round1-20260823	1e76da2cbe93ebc961760218eec3e2224ce1caad
LOCAL	refs/remotes/origin/feat/v49-trace-census-preprogram-round1-20260823	c5f4e794580607116206a9986ac6a549257f3bd2
LOCAL	refs/remotes/origin/fix/v49-api-read-contract-closure-20260821	d78f496bcdf2cd6941791986007cd7a885c4c532
LOCAL	refs/remotes/origin/fix/v49-read-platform-parity-browser-20260816	3e666b5265ebe7b41ea0c98531b35761ff0d9485
LOCAL	refs/remotes/origin/fix/v49-release-projection-snapshot-20260816	dc76920e3d843c9128e73dcec7ce7f26da7cfa51
LOCAL	refs/remotes/origin/fix/v49-release-projection-snapshot-closure-20260816	56d41d7bd55d90a7034bbcd017b0305b680e20b4
LOCAL	refs/remotes/origin/fix/v49-release-projection-snapshot-db-closure-20260820	55f1d715722f1a3bdb5b14d716a703e8a79ffb57
LOCAL	refs/remotes/origin/fix/v49-release-projection-snapshot-performance-20260817	321e89f954fc32eae91a124afe83af9b8b2f32a3
LOCAL	refs/remotes/origin/main	8de5d1dedffc6fd70d8b03cd63fdec74c0d40f6e
