category,dimension,value
"distributions.objectDesignType","Natural History Museum (Poster)","1"
"distributions.objectDesignType","New York Botanical Garden (Poster)","1"
"distributions.objectDesignType","News; Read","1"
"distributions.objectDesignType","Nike 180 AIR (Poster)","1"
"distributions.objectDesignType","No War (Poster)","1"
"distributions.objectDesignType","Notebook","1"
"distributions.objectDesignType","Old Master Drawings (Poster)","1"
"distributions.objectDesignType","Opening Night (Perfume bottle, lid, packaging)","1"
"distributions.objectDesignType","Package Design for National Dairy Ice Cream (Drawing)","1"
"distributions.objectDesignType","Package design","1"
"distributions.objectDesignType","Paint Your Wagon (Poster)","1"
"distributions.objectDesignType","Pamphlets","1"
"distributions.objectDesignType","People's Flag Show (Poster)","1"
"distributions.objectDesignType","Perangko","1"
"distributions.objectDesignType","Perception (Poster)","1"
"distributions.objectDesignType","Periodical page","1"
"distributions.objectDesignType","Perspective; Read","1"
"distributions.objectDesignType","Philadelphia: City of Myriad Moods (Poster)","1"
"distributions.objectDesignType","Photograph","1"
"distributions.objectDesignType","Piano, Steinway and Sons (Poster)","1"
"distributions.objectDesignType","Picnic Kit (Picnic kit including forks, spoons, and pick)","1"
"distributions.objectDesignType","Planned Parenthood: Avoid Accidents (Poster)","1"
"distributions.objectDesignType","Policy Brief","1"
"distributions.objectDesignType","Poster andletter","1"
"distributions.objectDesignType","Poster; Project","1"
"distributions.objectDesignType","Posters; Lithographs; Offset photomechanical prints","1"
"distributions.objectDesignType","Power Strike (Poster)","1"
"distributions.objectDesignType","Printed almanac / serial","1"
"distributions.objectDesignType","Printed serial / public notices","1"
"distributions.objectDesignType","Processed Food (Poster)","1"
"distributions.objectDesignType","Publication design","1"
"distributions.objectDesignType","Publicity Pays on the Underground (Poster)","1"
"distributions.objectDesignType","Publishing","1"
"distributions.objectDesignType","Remember Vietnam (Poster)","1"
"distributions.objectDesignType","Revenue Stamps; Tax stamps","1"
"distributions.objectDesignType","Rheuma-Heil, Reine Wolle (Rheuma-Heil, Pure Wool) (Brochure)","1"
"distributions.objectDesignType","Rhodiafil (Print)","1"
"distributions.objectDesignType","Rolled Poster","1"
"distributions.objectDesignType","Salon Politique (Poster)","1"
"distributions.objectDesignType","Sampul Album","1"
"distributions.objectDesignType","Sampul Buku","1"
"distributions.objectDesignType","Sampul Majalah","1"
"distributions.objectDesignType","San Francisco Seals (Poster)","1"
"distributions.objectDesignType","Save the Rainforest (Poster)","1"
"distributions.objectDesignType","Scenic Panel from 'Eldorado'","1"
"distributions.objectDesignType","Shop between 10 and 4, The Quiet Hours (Poster)","1"
"distributions.objectDesignType","Ski at Mont Gabriel, Piedmont near St. Saveur, Province Quebec, Canada (Brochure)","1"
"distributions.objectDesignType","Sporting-Stepper (Print)","1"
"distributions.objectDesignType","Study for ""You Can Be Sure of Shell"" (Drawing)","1"
"distributions.objectDesignType","Study for British Airways Advertisement (Drawing)","1"
"distributions.objectDesignType","Study for Marine Air Navigation Co. Advertisement (Drawing)","1"
"distributions.objectDesignType","Study for a Poster, Obey The Road Signs (Drawing)","1"
"distributions.objectDesignType","Study for a Still Life Arrangement (Drawing)","1"
"distributions.objectDesignType","Study for an Advertisement, Burgundy (Drawing)","1"
"distributions.objectDesignType","Study for an Advertisement, OK Triplex (Drawing)","1"
"distributions.objectDesignType","Study of an Abstract Bird (Drawing)","1"
"distributions.objectDesignType","Summer Picnic, 1970 (Poster)","1"
"distributions.objectDesignType","Tall Ships are Coming! Ho (Poster)","1"
"distributions.objectDesignType","Tension (Poster)","1"
"distributions.objectDesignType","Text; Image;","1"
"distributions.objectDesignType","The Bronx Zoo: Crocodile Teeth (Poster)","1"
"distributions.objectDesignType","The Ghost that isn't Returning (Poster)","1"
"distributions.objectDesignType","The Incredible String Band (Poster)","1"
"distributions.objectDesignType","The Philippines (Poster)","1"
"distributions.objectDesignType","The Shams: Quilt (Poster)","1"
"distributions.objectDesignType","The Yale Symphony (Poster)","1"
"distributions.objectDesignType","The Yale Symphony Orchestra (Poster)","1"
"distributions.objectDesignType","Toiling Midgets: Sketches (Poster)","1"
"distributions.objectDesignType","Torero and Bull (Poster)","1"
"distributions.objectDesignType","Trade card; Trade card; Trade cards","1"
"distributions.objectDesignType","Two Covered Boxes, One with Tassels (Photograph)","1"
"distributions.objectDesignType","Undergraduate project","1"
"distributions.objectDesignType","War posters; Posters; Lithographs","1"
"distributions.objectDesignType","Well Done! 11 World Records, Villiers (Poster)","1"
"distributions.objectDesignType","Zeke Clements in Person (Poster)","1"
"distributions.objectDesignType","advertisements; Advertisements","1"
"distributions.objectDesignType","application/pdf","1"
"distributions.objectDesignType","authority-weighted Commons open image record; advertising poster; travel_poster","1"
"distributions.objectDesignType","authority-weighted Commons open image record; book cover; postage_stamp","1"
"distributions.objectDesignType","authority-weighted Commons open image record; brochure; advertising_trade","1"
"distributions.objectDesignType","authority-weighted Commons open image record; film poster; postage_stamp","1"
"distributions.objectDesignType","authority-weighted Commons open image record; magazine cover; book_cover","1"
"distributions.objectDesignType","authority-weighted Commons open image record; type specimen; label_packaging","1"
"distributions.objectDesignType","authority-weighted Commons open image record; type specimen; typography_identity","1"
"distributions.objectDesignType","bibliography/image page","1"
"distributions.objectDesignType","controlled Commons open image record; advertisement; label","1"
"distributions.objectDesignType","final-gap open image record; poster; 1945_1949_moderate_gap","1"
"distributions.objectDesignType","final-gap open image record; poster; 1955_1964_gap","1"
"distributions.objectDesignType","image/jp2","1"
"distributions.objectDesignType","image; text;","1"
"distributions.objectDesignType","linocut; paper; print; prints and drawing","1"
"distributions.objectDesignType","lithograph; book; prints and drawing; print","1"
"distributions.objectDesignType","lithograph; prints and drawing; print","1"
"distributions.objectDesignType","lithograph; prints and drawing; print; poster","1"
"distributions.objectDesignType","offset print; photomechanical process; photography; photograph","1"
"distributions.objectDesignType","photographic record / mural documentation","1"
"distributions.objectDesignType","poster; advertisement; catalog; letterpress; print","1"
"distributions.objectDesignType","poster; affiche; photomechanical print; fotomechanische afdruk","1"
"distributions.objectDesignType","poster; affiche; prent; print","1"
"distributions.objectDesignType","poster; graphic design; modern and contemporary art","1"
"distributions.objectDesignType","region-balanced open image record; packaging","1"
"distributions.objectDesignType","stencil; poster; print; prints and drawing","1"
"distributions.assignmentLifecycleState","proposed","47982"
"missingness.emptyArray.count","","38991"
"missingness.emptyArray.definition","","JSON empty-array occurrences"
"missingness.emptyString.count","","11136"
"missingness.emptyString.definition","","JSON empty-string occurrences"
"missingness.explicitNull.count","","676"
"missingness.explicitNull.definition","","JSON null literal occurrences"
"missingness.missingField.count","","4957"
"missingness.missingField.definition","","trace.tier absent; governed fail-closed delta"
"missingness.quarantinedValue.count","","7928"
"missingness.quarantinedValue.definition","","fail_closed_delta rows retained with held disposition"
"missingness.absentRelationship.count","","15923"
"missingness.absentRelationship.definition","","canonical objects with no accepted semantic relation in a zero-relation canonical set"
"dataQuality.duplicateStableIds","","0"
"dataQuality.unknownRelationTypes","","0"
"dataQuality.orphanAssignmentMemberships","","0"
"dataQuality.failedCandidateSelectedCurrent","","0"
"dataQuality.malformedAssignmentSupersessionCycles","","0"
"dataQuality.assignmentSupersessionDepthDistribution[0].count","","47982"
"dataQuality.assignmentSupersessionDepthDistribution[0].depth","","1"
"dataQuality.duplicateStableIdsReconciled","","0"
"dataQuality.missingStableIds","","0"
"dataQuality.unexpectedStableIds","","0"
"dataQuality.remappedStableIds","","0"
"dataQuality.unexplainedDeltas","","0"
"dataQuality.silentDrops","","0"
"dataQuality.silentSplits","","0"
"dataQuality.rightsWidening","","0"
"dataQuality.verifierIntegrityFailures","","0"
"rightsAndPublication.heldCount","","7928"
"rightsAndPublication.eligibleCount","","7995"
"rightsAndPublication.acceptedTraceCount","","0"
"rightsAndPublication.sealedReleaseCount","","1"
"rightsAndPublication.currentReleaseCount","","1"
"rightsAndPublication.positiveRightsCount","","0"
"rightsAndPublication.rightsStateDistribution","citation_only","15788"
"searchReadiness.searchableRecordCount","","7995"
"searchReadiness.uniqueSearchKeyCount","","7995"
"searchReadiness.duplicatePageSearchKeyCount","","0"
"searchReadiness.missingPageSearchKeyCount","","0"
"searchReadiness.recordsExcludedFromSearch","","7928"
"searchReadiness.searchIndexSourceRecordCount","","7995"
"searchReadiness.pageByKeyPotentialSourceSize","","7995"
"searchReadiness.pageByKeyCanonicalPosterQuerySourceSize","","486"
"searchReadiness.keyNormalizationCollisions","","0"
"searchReadiness.emptyTitlesLabels","","0"
"searchReadiness.recordsWithNoSearchableText","","0"
"apiVisible.descriptor.sealed_at","","2026-08-21T13:24:46.690163+10:00"
"apiVisible.descriptor.object_count","","7995"
"apiVisible.descriptor.model_version","","model-v49.0"
"apiVisible.descriptor.relation_count","","0"
"apiVisible.descriptor.schema_version","","schema-v49.0"
"apiVisible.descriptor.research_release_id","","v49-api-contract-fresh-c"
"apiVisible.descriptor.research_release_key","","99000000-0000-4000-8000-000000000100"
"apiVisible.descriptor.research_manifest_sha256","","4addfdb3cb9314587908096572242b9d63e9cef9e6e1be68c0c646491a43a90a"
"apiVisible.descriptor.trace_eligible_object_count","","0"
"apiVisible.currentRelease.research_release_id","","v49-api-contract-fresh-c"
"apiVisible.currentRelease.research_manifest_sha256","","4addfdb3cb9314587908096572242b9d63e9cef9e6e1be68c0c646491a43a90a"
"apiVisible.emptyTitleCount","","0"
"apiVisible.surfaceIdMaximum","","SURF-YRGAP-REGION-0116"
"apiVisible.surfaceIdMinimum","","SURF-AICTRACEV47R0001"
"apiVisible.transactionReadOnly","","on"
"apiVisible.uniqueSearchKeyCount","","7995"
"apiVisible.apiVisibleObjectCount","","7995"
"apiVisible.missingSearchKeyCount","","0"
"apiVisible.searchableRecordCount","","7995"
"apiVisible.duplicateSearchKeyCount","","0"
"apiVisible.apiVisibleRelationshipCount","","0"
"apiVisible.recordsWithNoSearchableText","","0"
"apiVisible.publicationLayerDistribution.active","","7995"
"apiVisible.endpointStatistics","/api/v1/visual-registries/current","0"
"apiVisible.endpointStatistics","/api/v1/releases/{release}","1"
"apiVisible.endpointStatistics","/api/v1/releases/{release}/manifest","1"
"apiVisible.endpointStatistics","/api/v1/releases/{release}/archive/overview","1"
"apiVisible.endpointStatistics","/api/v1/releases/{release}/folder-types","0"
"apiVisible.endpointStatistics","/api/v1/releases/{release}/folders","0"
"apiVisible.endpointStatistics","/api/v1/releases/{release}/folders/{id}/surfaces","0"
"apiVisible.endpointStatistics","/api/v1/releases/{release}/folders/{id}","0"
"apiVisible.endpointStatistics","/api/v1/releases/{release}/surfaces/{id}","7995"
"apiVisible.endpointStatistics","/api/v1/releases/{release}/search","7995"
"apiVisible.endpointStatistics","/api/v1/releases/{release}/trace/atlas","1"
"apiVisible.endpointStatistics","/api/v1/releases/{release}/trace/objects","0"
"apiVisible.endpointStatistics","/api/v1/releases/{release}/trace/objects/{id}/neighborhood","0"
"apiVisible.endpointStatistics","/api/v1/releases/{release}/trace/relation-types","0"
"apiVisible.endpointStatistics","/api/v1/releases/{release}/trace/relation-types/{id}","0"
"apiVisible.endpointStatistics","/api/v1/releases/{release}/relations/{id}","0"
"apiVisible.endpointStatistics","/api/v1/releases/{release}/claims/{id}","0"
"apiVisible.endpointStatistics","/api/v1/releases/{release}/corpora/{version}","0"
"evidenceCrosscheck.verifierSchemaHash","","df1e7741e59e5e6bf1ca80f2a33edfad1abb2fc6d95b57d4d6993b49917020dd"
"evidenceCrosscheck.verifierContentDigest","","a0fa7aaeb84b383371c20340afa2c2a5c7f12408102767de189225cc93e478b9"
"evidenceCrosscheck.verifierStableKeySetSha256","","9bf3491b9c6603f3a7f8f141f2d9abac915ec1b91cd442b9248190263a8835a0"
"evidenceCrosscheck.apiContractStatus","","PASS"
"evidenceCrosscheck.runtimeProfileStatus","","PASS"
